id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ACRC	10	0.096959	0.071821	0.156155	30	5	-0.099126	0.0034787	0.17256	1.0	1	4	-0.099126
ABI1	10	0.12537	0.071821	0.156155	31	7	-0.48453	0.31079	0.86308	1.0	52	1	-0.48453
ADH5	10	0.13671	0.071831	0.156155	32	5	-0.20403	0.44331	0.89978	1.0	62	2	-0.20403
ACBD6	10	0.13975	0.071831	0.156155	33	5	-0.34762	0.10933	0.64574	1.0	29	3	-0.34762
AGL	10	0.1482	0.071831	0.156155	34	5	-0.33257	0.1512	0.70902	1.0	32	3	-0.33257
AGPAT3	10	0.153	0.071831	0.156155	35	6	-0.51246	0.49787	0.89978	1.0	67	2	-0.51246
ACVR2B	10	0.15338	0.071831	0.156155	36	5	-0.18061	0.37914	0.89977	1.0	57	2	-0.18061
ABTB1	10	0.15595	0.071831	0.156155	37	7	-0.31351	0.45307	0.89978	1.0	63	1	-0.31351
ADCY1	10	0.15858	0.071831	0.156155	38	4	-0.12173	0.091127	0.64573	1.0	25	2	-0.12173
ACSL6	10	0.16107	0.071831	0.156155	39	5	-0.17357	0.21628	0.83986	1.0	40	2	-0.17357
ADAMTS5	10	0.16219	0.071831	0.156155	40	6	-0.36885	0.64585	0.96238	1.0	72	1	-0.36885
ACTL6B	10	0.1676	0.071831	0.156155	41	6	-0.3755	0.66417	0.96238	1.0	74	2	-0.3755
AAK1	10	0.17631	0.071831	0.156155	42	5	-0.1603	0.039537	0.45625	1.0	11	3	-0.1603
ADRM1	10	0.1787	0.071831	0.156155	43	6	-0.45104	0.42936	0.89977	1.0	61	1	-0.45104
ABCC1	10	0.1815	0.071831	0.156155	44	6	-0.38263	0.0819	0.62327	1.0	21	2	-0.38263
ADAM10	10	0.18506	0.071831	0.156155	45	6	-0.43243	0.87491	0.99385	1.0	86	1	-0.43243
ADAP1	10	0.18726	0.071831	0.156155	46	3	-0.13698	0.24303	0.83986	1.0	46	2	-0.13698
ACTL7A	10	0.19203	0.2647	0.364953	47	5	-0.29622	0.28833	0.83987	1.0	50	3	-0.29622
AGFG1	10	0.20899	0.2647	0.364953	48	6	-0.37099	0.63823	0.96238	1.0	71	2	-0.37099
AFF1	10	0.21644	0.2647	0.364953	49	3	-0.16411	0.69032	0.97255	1.0	76	1	-0.16411
ADAM12	10	0.21988	0.2647	0.364953	50	4	-0.086253	0.17168	0.70903	1.0	34	3	-0.086253
ACAT2	10	0.22008	0.2647	0.364953	51	5	-0.083424	0.17891	0.72682	1.0	35	1	-0.083424
AGAP2	10	0.23448	0.2647	0.364953	52	6	-0.30791	0.35257	0.86309	1.0	56	1	-0.30791
ADAR	10	0.27509	0.2647	0.364953	53	6	-0.41739	0.11831	0.64574	1.0	30	3	-0.41739
ADRA1A	10	0.29362	0.2647	0.364953	54	6	-0.30994	0.0049937	0.17539	1.0	3	3	-0.30994
ACD	10	0.32409	0.26471	0.364953	55	6	-0.27614	0.47589	0.89978	1.0	64	1	-0.27614
ACTR5	10	0.32498	0.26471	0.364953	56	2	0.024597	0.31792	0.86308	1.0	53	2	0.024597
ADPRHL2	10	0.32599	0.26471	0.364953	57	5	-0.24495	0.88671	0.99386	1.0	87	1	-0.24495
ABHD14B	10	0.35257	0.26471	0.364953	58	4	-0.18112	0.92648	0.99386	1.0	91	0	-0.18112
ADRB3	10	0.39205	0.26471	0.364953	59	2	-0.041722	0.093545	0.64573	1.0	26	3	-0.041722
AFTPH	10	0.41708	0.27005	0.364953	60	5	-0.30024	0.39046	0.89977	1.0	58	2	-0.30024
ABLIM2	10	0.42273	0.27005	0.364953	61	5	-0.094347	0.21644	0.83986	1.0	41	3	-0.094347
ACVR2A	10	0.43048	0.27005	0.364953	62	5	-0.07206	0.09861	0.64573	1.0	27	4	-0.07206
ADK	10	0.44331	0.27005	0.364953	63	4	0.016092	0.028678	0.38518	1.0	9	5	0.016092
ADCK4	10	0.44723	0.27005	0.364953	64	2	0.1002	0.082031	0.62327	1.0	22	4	0.1002
AHRR	9	0.46064	0.22743	0.364953	65	5	-0.29199	0.013433	0.28361	1.0	5	2	-0.29199
ACVRL1	10	0.46459	0.27005	0.364953	66	3	-0.077735	0.19737	0.72683	1.0	38	3	-0.077735
ADH7	10	0.46943	0.27005	0.364953	67	5	-0.30102	0.91307	0.99386	1.0	90	0	-0.30102
ABCB8	10	0.47666	0.27005	0.364953	68	3	0.11582	0.004502	0.17257	1.0	2	4	0.11582
ADAD1	10	0.47984	0.27005	0.364953	69	5	-0.23969	0.7645	0.98329	1.0	79	1	-0.23969
A1CF	10	0.51626	0.27006	0.364953	70	5	-0.21382	0.15374	0.70903	1.0	33	3	-0.21382
ADI1	10	0.53864	0.27006	0.364953	71	4	-0.19398	0.22784	0.83986	1.0	43	2	-0.19398
AFF2	10	0.54639	0.27006	0.364953	72	4	0.012606	0.48146	0.89978	1.0	65	2	0.012606
ADCK5	10	0.55757	0.27006	0.364953	73	5	-0.17969	0.051755	0.45626	1.0	14	4	-0.17969
ADCK2	10	0.56269	0.27006	0.364953	74	5	-0.24114	0.25318	0.83986	1.0	48	3	-0.24114
AEBP2	10	0.58399	0.65217	0.699659	75	5	-0.23459	0.59858	0.96237	1.0	69	2	-0.23459
ACVR1	10	0.60069	0.65217	0.699659	76	5	-0.022721	0.10836	0.64574	1.0	28	4	-0.022721
ADRBK1	10	0.60592	0.65217	0.699659	77	3	0.12078	0.034488	0.44924	1.0	10	4	0.12078
AGTPBP1	10	0.61998	0.65218	0.699659	78	4	-0.22078	0.010613	0.21664	1.0	4	4	-0.22078
ADRA1B	10	0.62328	0.65218	0.699659	79	4	-0.21376	0.20372	0.72683	1.0	39	2	-0.21376
AFF4	10	0.6298	0.65218	0.699659	80	2	0.092496	0.48698	0.89978	1.0	66	2	0.092496
ADARB1	10	0.63791	0.65218	0.699659	81	2	-0.1263	0.21988	0.83986	1.0	42	3	-0.1263
AATK	10	0.65748	0.65767	0.699659	82	2	0.043587	0.058565	0.45626	1.0	15	4	0.043587
ADRB2	10	0.66397	0.65767	0.699659	83	4	-0.24748	0.84422	0.99385	1.0	82	1	-0.24748
AHNAK2	10	0.69032	0.65767	0.699659	84	2	0.10426	0.067621	0.62326	1.0	18	3	0.10426
ADRBK2	10	0.69378	0.65767	0.699659	85	3	-0.033727	0.64702	0.96238	1.0	73	2	-0.033727
ACTN4	10	0.69418	0.65767	0.699659	86	3	-0.012448	0.23886	0.83986	1.0	45	3	-0.012448
ABL2	10	0.74642	0.65767	0.699659	87	4	-0.087366	0.69378	0.97255	1.0	77	1	-0.087366
ADD1	10	0.76123	0.65768	0.699659	88	3	-0.12361	0.25131	0.83986	1.0	47	2	-0.12361
ADARB2	10	0.76465	0.65768	0.699659	89	4	0.12734	0.23574	0.83986	1.0	44	3	0.12734
ADCK1	10	0.78876	0.65768	0.699659	90	3	0.074619	0.01847	0.38517	1.0	6	4	0.074619
AFAP1L2	10	0.79515	0.65768	0.699659	91	4	-0.011595	0.32077	0.86308	1.0	54	2	-0.011595
ADNP	10	0.79958	0.65768	0.699659	92	2	0.14618	0.086385	0.62327	1.0	24	4	0.14618
ACTN1	10	0.80594	0.65768	0.699659	93	4	-0.13885	0.19203	0.72682	1.0	36	3	-0.13885
ADNP2	10	0.82315	0.65768	0.699659	94	4	-0.10876	0.024745	0.38518	1.0	8	3	-0.10876
ACSS2	10	0.87231	0.68266	0.703783	95	3	-0.042209	0.066115	0.62326	1.0	17	3	-0.042209
ADCK3	10	0.89878	0.68266	0.703783	96	2	0.10779	0.041167	0.45625	1.0	12	5	0.10779
AGAP3	10	0.92708	0.68267	0.703783	97	2	0.12653	0.074743	0.62326	1.0	19	4	0.12653
AES	10	0.98696	0.75843	0.773906	98	2	-0.030573	0.2765	0.83987	1.0	49	3	-0.030573
ACVR1C	10	0.999	0.89186	0.90087	99	1	0.073002	0.079199	0.62327	1.0	20	4	0.073002
