sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ACLY_m40070008	ACLY	352.94/444.04	44.082/21.443	398.49	32.763	-3.5647	4149.1	10243	3.6953	0.0001098	0.99989	0.00021961	0.0036565	False
ACTN4_p39138476	ACTN4	484.31/464.85	900.45/872.54	474.58	886.5	0.90006	189.27	12544	3.6779	0.99988	0.00011759	0.00023517	0.0037949	True
ACHE_m100491767	ACHE	1676.1/1717.2	827.34/841.39	1696.6	834.37	-1.023	844.24	54981	3.6773	0.00011785	0.99988	0.00023569	0.0037949	False
AGFG1_m228337276	AGFG1	2565.6/2208	1335.9/1337.7	2386.8	1336.8	-0.83585	63910	81707	3.6734	0.00011966	0.99988	0.00023932	0.0037949	False
ACIN1_m23538715	ACIN1	911.64/962.66	285.46/371.17	937.15	328.31	-1.5103	1301.6	27613	3.6639	0.00012421	0.99988	0.00024841	0.0038776	False
ACTR1A_p104248866	ACTR1A	1050.9/650.44	398.35/153.68	850.68	276.01	-1.6204	80188	24680	3.658	0.00012707	0.99987	0.00025414	0.0038803	False
ACRC_p70800703	ACRC	1500.4/1437.9	885.94/475.33	1469.2	680.63	-1.1089	1952.3	46522	3.6558	0.00012818	0.99987	0.00025635	0.0038803	False
ADD1_p2877627	ADD1	254.81/303.54	428.45/717.84	279.18	573.15	1.0351	1187.1	6781.6	3.5697	0.99982	0.00017873	0.00035746	0.0053299	True
ACTR5_p37377211	ACTR5	1100/721.56	405.88/251.19	910.77	328.53	-1.4682	71600	26713	3.5623	0.00018379	0.99982	0.00036757	0.0054001	False
ACTR8_m53916057	ACTR8	1068.3/981.74	633.81/178.69	1025	406.25	-1.3331	3748.6	30639	3.5351	0.00020384	0.9998	0.00040767	0.0059024	False
ADIRF_p88728321	ADIRF	1774.2/742.37	584.35/542.72	1258.3	563.54	-1.1575	5.3234e+05	38867	3.524	0.00021252	0.99979	0.00042504	0.0060659	False
ADH5_p100003219	ADH5	340.28/572.39	38.168/113.85	456.34	76.011	-2.5701	26937	11986	3.4904	0.00024116	0.99976	0.00048232	0.0067865	False
ABHD14B_m52004122	ABHD14B	1930.9/1793.5	838.09/1161.5	1862.2	999.8	-0.89662	9440.1	61255	3.4844	0.00024658	0.99975	0.00049317	0.0068427	False
ACAT2_p160183107	ACAT2	2190.5/2195.9	937.01/1561.3	2193.2	1249.1	-0.81159	14.796	74064	3.4688	0.00026135	0.99974	0.0005227	0.0071138	False
ADAM10_p58974401	ADAM10	1043/844.71	503.18/228.73	943.86	365.95	-1.3645	19660	27842	3.4634	0.00026671	0.99973	0.00053342	0.0071138	False
ADNP_m49520507	ADNP	1033.5/1365.1	1218.2/2508.4	1199.3	1863.3	0.63523	54966	36761	3.4631	0.99973	0.00026703	0.00053407	0.0071138	True
ADAM12_m128076658	ADAM12	827.75/749.31	1220.3/1394.3	788.53	1307.3	0.72864	3076.5	22601	3.4508	0.99972	0.00027943	0.00055887	0.0073462	True
AFF3_p100623773	AFF3	2048/1783.1	1340.7/759.19	1915.5	1050	-0.8668	35095	63297	3.4405	0.00029034	0.99971	0.00058069	0.0075339	False
ACTR3_m114684932	ACTR3	1103.1/1330.4	753.16/353.81	1216.8	553.48	-1.135	25817	37383	3.4305	0.00030123	0.9997	0.00060246	0.0077162	False
ACO2_m41895810	ACO2	2401/1750.1	1238.1/1107.9	2075.5	1173	-0.82278	2.1179e+05	69473	3.4243	0.00030822	0.99969	0.00061644	0.0077952	False
ADRB3_p37823813	ADRB3	1364.3/686.87	449.96/404.36	1025.6	427.16	-1.2616	2.2945e+05	30658	3.4177	0.00031576	0.99968	0.00063151	0.0078607	False
AFMID_m76187074	AFMID	967.03/860.32	431.68/277.23	913.68	354.46	-1.3636	5693.5	26812	3.4152	0.00031868	0.99968	0.00063735	0.0078607	False
ACP1_m272137	ACP1	1862.8/705.95	673.06/540.17	1284.4	606.61	-1.081	6.692e+05	39804	3.3972	0.00034035	0.99966	0.0006807	0.0082929	False
ACTL6B_p100253066	ACTL6B	1058.8/999.08	477.91/391.59	1029	434.75	-1.241	1784.8	30775	3.3871	0.00035312	0.99965	0.00070624	0.0085004	False
ACTRT3_p169487206	ACTRT3	37.985/397.2	384.37/532.51	217.59	458.44	1.0716	64519	5080.7	3.3789	0.99964	0.00036427	0.00072854	0.0086644	True
ACTRT3_m169487242	ACTRT3	2337.7/1573.2	898.84/1302.9	1955.4	1100.9	-0.82825	2.9219e+05	64829	3.3562	0.00039509	0.9996	0.00079019	0.0092802	False
ACRC_p70814200	ACRC	2089.2/1259.3	803.15/984.86	1674.2	894	-0.90438	3.4437e+05	54139	3.3532	0.00039945	0.9996	0.0007989	0.0092802	False
ACRC_p70814182	ACRC	734.37/803.08	1339.7/1190.1	768.73	1264.9	0.71772	2360.4	21944	3.3493	0.99959	0.00040506	0.00081011	0.0093023	True
ACTL7A_m111624736	ACTL7A	940.12/810.02	310.72/389.55	875.07	350.14	-1.319	8463.7	25503	3.2871	0.00050614	0.99949	0.0010123	0.011492	False
AGL_m100327135	AGL	238.99/116.21	356.96/412.02	177.6	384.49	1.1099	7536.9	4015.5	3.2648	0.99945	0.00054904	0.0010981	0.012326	True
ACVR2A_m148602752	ACVR2A	1511.5/973.06	635.42/574.88	1242.3	605.15	-1.0364	1.4495e+05	38294	3.2558	0.00056539	0.99943	0.0011308	0.012501	False
ADK_p76153940	ADK	865.74/461.38	1138.6/1073.7	663.56	1106.1	0.73638	81752	18502	3.2538	0.99943	0.00056934	0.0011387	0.012501	True
ADCK1_p78285416	ADCK1	889.48/778.8	833.26/1844.1	834.14	1338.7	0.68181	6125	24124	3.2485	0.99942	0.00058017	0.0011603	0.012593	True
ACBD6_m180471338	ACBD6	1209.2/796.14	372.01/511.57	1002.7	441.79	-1.1806	85301	29865	3.2455	0.00058618	0.99941	0.0011724	0.012593	False
ADCK4_p41220480	ADCK4	2717.5/2388.4	1834.8/1353.5	2553	1594.1	-0.67907	54143	88346	3.2259	0.00062788	0.99937	0.0012558	0.013346	False
ACO2_p41903797	ACO2	610.92/650.44	321.48/89.347	630.68	205.41	-1.6137	780.96	17443	3.2204	0.00064008	0.99936	0.0012802	0.013462	False
ACSL6_m131329908	ACSL6	1088.9/846.44	475.22/374.75	967.67	424.99	-1.1852	29392	28659	3.2057	0.00067376	0.99933	0.0013475	0.014023	False
ACVRL1_p52306296	ACVRL1	1433.9/1097.9	618.22/649.42	1265.9	633.82	-0.99692	56441	39141	3.1951	0.00069903	0.9993	0.0013981	0.014399	False
ABI1_p27149701	ABI1	751.78/761.45	1526.2/923.08	756.62	1224.6	0.69399	46.753	21544	3.1887	0.99929	0.00071469	0.0014294	0.014571	True
AGBL5_m27275887	AGBL5	690.06/588	261.8/172.06	639.03	216.93	-1.5543	5207.8	17711	3.172	0.00075697	0.99924	0.0015139	0.015225	False
ACTL6A_p179287878	ACTL6A	558.69/490.87	84.401/212.9	524.78	148.65	-1.8129	2300.1	14095	3.1701	0.00076202	0.99924	0.001524	0.015225	False
ACIN1_p23538735	ACIN1	265.89/173.45	24.191/0	219.67	12.096	-4.0747	4272.8	5136.9	3.1556	0.00080096	0.9992	0.0016019	0.015845	False
ACTR5_m37377141	ACTR5	932.21/914.09	1359.6/1512.8	923.15	1436.2	0.63702	164.18	27135	3.1143	0.99908	0.00092194	0.0018439	0.018059	True
ACTR8_m53916121	ACTR8	307.04/398.94	84.401/39.823	352.99	62.112	-2.4877	4222.3	8900.4	3.111	0.00093243	0.99907	0.0018649	0.018087	False
ACTRT3_m169487289	ACTRT3	1202.9/520.36	404.26/347.69	861.6	375.98	-1.1942	2.329e+05	25048	3.0684	0.0010759	0.99892	0.0021518	0.020669	False
ACBD6_p180471279	ACBD6	853.08/1214.2	581.13/412.53	1033.6	496.83	-1.0554	65192	30937	3.0519	0.0011371	0.99886	0.0022742	0.021505	False
ACAD11_p132378460	ACAD11	1745.7/1087.5	695.63/849.05	1416.6	772.34	-0.8743	2.166e+05	44598	3.0509	0.0011409	0.99886	0.0022818	0.021505	False
ABL1_m133729449	ABL1	645.74/365.98	1179.5/536.59	505.86	858.03	0.76111	39133	13507	3.0301	0.99878	0.0012222	0.0024445	0.022823	True
ABT1_p26597221	ABT1	1720.4/1431	907.98/885.81	1575.7	896.9	-0.81228	41882	50459	3.0218	0.0012564	0.99874	0.0025127	0.023243	False
ACAD9_p128598545	ACAD9	892.64/1073.7	576.29/360.45	983.15	468.37	-1.0682	16385	29192	3.013	0.0012935	0.99871	0.002587	0.023666	False
AAAS_m53714382	AAAS	1114.2/1163.9	429.53/728.05	1139	578.79	-0.97548	1232	34627	3.0108	0.001303	0.9987	0.0026059	0.023666	False
ACO2_m41865159	ACO2	1283.6/858.59	726.28/336.45	1071.1	531.37	-1.0099	90306	32241	3.0058	0.0013246	0.99868	0.0026491	0.023836	False
ABI1_m27149751	ABI1	1327.9/848.18	613.92/474.3	1088	544.11	-0.99842	1.1506e+05	32834	3.0017	0.0013423	0.99866	0.0026845	0.023836	False
ACD_m67694376	ACD	1997.4/1387.6	923.57/1056.3	1692.5	989.95	-0.77311	1.859e+05	54825	3.0004	0.0013481	0.99865	0.0026962	0.023836	False
ACSL6_m131326651	ACSL6	678.98/676.46	909.06/1270.3	677.72	1089.7	0.68431	3.1682	18961	2.9916	0.99861	0.0013876	0.0027752	0.02432	True
AATF_p35306466	AATF	299.13/424.96	155.36/0	362.04	77.681	-2.2061	7916.1	9165.5	2.9867	0.0014099	0.99859	0.0028199	0.024379	False
ACLY_m40069993	ACLY	1365.9/1378.9	968.19/538.63	1372.4	753.41	-0.86433	85.41	42986	2.9855	0.0014154	0.99858	0.0028308	0.024379	False
AEBP1_m44144319	AEBP1	1068.3/875.93	416.63/516.68	972.13	466.65	-1.0572	18507	28812	2.9779	0.0014512	0.99855	0.0029023	0.0245	False
ACAD9_m128598636	ACAD9	614.09/515.15	262.88/129.17	564.62	196.02	-1.5215	4894.2	15343	2.9763	0.0014587	0.99854	0.0029173	0.0245	False
ADCY1_m45614243	ADCY1	1088.9/1182.9	413.4/752.56	1135.9	582.98	-0.96114	4422	34517	2.9762	0.0014592	0.99854	0.0029184	0.0245	False
AATF_m35306475	AATF	780.27/1061.5	592.42/274.17	920.9	433.29	-1.0859	39552	27058	2.9643	0.001517	0.99848	0.003034	0.025258	False
AHNAK_m62303548	AHNAK	935.38/957.45	614.46/292.55	946.42	453.5	-1.0597	243.69	27930	2.9494	0.001592	0.99841	0.0031839	0.026287	False
ABL1_p133729492	ABL1	1190.2/1144.8	868.74/357.9	1167.5	613.32	-0.92759	1031	35632	2.9358	0.0016636	0.99834	0.0033272	0.027245	False
ACIN1_m23538815	ACIN1	1408.6/2135.2	1263.3/889.9	1771.9	1076.6	-0.71828	2.6396e+05	57822	2.8915	0.0019172	0.99808	0.0038343	0.031048	False
AEN_m89169478	AEN	1487.7/1299.2	1285.9/292.04	1393.4	788.97	-0.81982	17782	43752	2.8899	0.0019269	0.99807	0.0038537	0.031048	False
ADRM1_p60878615	ADRM1	514.38/822.16	150.52/399.76	668.27	275.14	-1.2772	47365	18654	2.8784	0.0019984	0.998	0.0039968	0.031942	False
AHCY_m32883210	AHCY	324.45/641.77	194.61/122.53	483.11	158.57	-1.6012	50345	12805	2.8695	0.0020557	0.99794	0.0041115	0.032487	False
AHCTF1_m247068886	AHCTF1	1179.1/862.06	713.91/325.73	1020.6	519.82	-0.97194	50263	30485	2.8681	0.002065	0.99794	0.0041299	0.032487	False
AAK1_p69870105	AAK1	300.71/282.73	495.65/570.8	291.72	533.23	0.86793	161.77	7135.9	2.8589	0.99787	0.0021259	0.0042518	0.033184	True
AGTPBP1_m88307696	AGTPBP1	0/353.84	373.08/341.56	176.92	357.32	1.01	62602	3997.7	2.8532	0.99783	0.0021696	0.0043392	0.033346	True
ABI1_m27149710	ABI1	685.31/1163.9	615.53/293.06	924.59	454.3	-1.0236	1.1451e+05	27184	2.8524	0.0021696	0.99783	0.0043393	0.033346	False
AGAP2_p58129171	AGAP2	547.61/886.34	1128.9/1114	716.98	1121.5	0.64468	57367	20240	2.8432	0.99777	0.0022329	0.0044658	0.033902	True
ACAT2_m160183968	ACAT2	1956.2/2780.4	1545.6/1573.5	2368.3	1559.5	-0.60243	3.3966e+05	80973	2.8423	0.0022398	0.99776	0.0044796	0.033902	False
ACTL7A_p111624631	ACTL7A	710.63/700.75	322.01/289.99	705.69	306	-1.2028	48.887	19871	2.8354	0.0022885	0.99771	0.0045769	0.034379	False
ACAD9_p128598592	ACAD9	992.35/756.25	425.23/419.16	874.3	422.2	-1.0485	27873	25477	2.8325	0.0023094	0.99769	0.0046188	0.034434	False
ACHE_m100491773	ACHE	607.76/379.86	138.16/201.67	493.81	169.91	-1.5336	25969	13135	2.8273	0.0023475	0.99765	0.0046949	0.034742	False
AHNAK2_p105423983	AHNAK2	390.93/379.86	832.72/496.26	385.39	664.49	0.78434	61.25	9854.1	2.8115	0.99753	0.0024654	0.0049309	0.036024	True
ADPRHL2_m36554557	ADPRHL2	1720.4/1021.6	647.25/930.74	1371	789	-0.79638	2.4414e+05	42936	2.8088	0.002486	0.99751	0.004972	0.036024	False
ADAMTS5_p28338585	ADAMTS5	1047.7/917.56	458.56/547.31	982.65	502.94	-0.96491	8474.6	29174	2.8086	0.0024882	0.99751	0.0049763	0.036024	False
AFF4_m132272833	AFF4	1470.3/1880.2	930.56/1117.6	1675.3	1024.1	-0.70952	84004	54179	2.7977	0.0025737	0.99743	0.0051473	0.036994	False
AFF3_m100623802	AFF3	674.23/187.33	111.28/165.42	430.78	138.35	-1.6316	1.1854e+05	11212	2.7645	0.0028508	0.99715	0.0057016	0.040299	False
ADARB1_m46595779	ADARB1	716.96/169.98	163.43/129.17	443.47	146.3	-1.5934	1.4959e+05	11595	2.7619	0.0028733	0.99713	0.0057466	0.040299	False
AGL_m100327263	AGL	816.67/452.71	349.43/187.88	634.69	268.66	-1.2372	66235	17572	2.7614	0.0028777	0.99712	0.0057554	0.040299	False
AGPAT3_p45379648	AGPAT3	1109.5/641.77	502.1/367.09	875.62	434.6	-1.009	1.0937e+05	25521	2.7607	0.0028842	0.99712	0.0057685	0.040299	False
AGPAT5_m6566202	AGPAT5	308.63/556.78	165.04/115.9	432.7	140.47	-1.6162	30790	11270	2.7554	0.0029313	0.99707	0.0058626	0.040672	False
ADAP1_m994091	ADAP1	946.46/1189.9	305.89/853.14	1068.2	579.51	-0.88109	29627	32140	2.7257	0.003208	0.99679	0.006416	0.044202	False
ACSS2_p33500928	ACSS2	430.49/787.47	977.87/945.04	608.98	961.45	0.65794	63716	16749	2.7235	0.99677	0.0032299	0.0064599	0.044202	True
AATK_p79102286	AATK	2032.2/974.8	991.31/829.14	1503.5	910.22	-0.7234	5.5904e+05	47786	2.7139	0.0033243	0.99668	0.0066486	0.045184	False
ACTL6A_m179287950	ACTL6A	409.92/378.12	163.43/81.178	394.02	122.3	-1.6797	505.46	10110	2.7066	0.0033983	0.9966	0.0067966	0.045877	False
ACTRT3_m169487273	ACTRT3	868.9/704.21	151.6/611.64	786.56	381.62	-1.0415	13561	22536	2.6975	0.0034936	0.99651	0.0069871	0.046847	False
AGTPBP1_m88296213	AGTPBP1	840.41/853.38	1219.8/1317.2	846.9	1268.5	0.5823	84.084	24553	2.6906	0.99643	0.0035658	0.0071316	0.047497	True
AGFG1_m228337248	AGFG1	1058.8/655.65	575.75/299.7	857.24	437.72	-0.96806	81277	24901	2.6585	0.0039243	0.99608	0.0078486	0.051586	False
ACLY_m40070097	ACLY	533.37/572.39	238.15/217.5	552.88	227.82	-1.2753	761.29	14973	2.6567	0.0039454	0.99605	0.0078907	0.051586	False
ACVR2B_m38518828	ACVR2B	435.24/1070.2	1192.9/1089.5	752.72	1141.2	0.59973	2.0158e+05	21415	2.6547	0.99603	0.0039686	0.0079371	0.051586	True
ACVR2B_m38495825	ACVR2B	2222.1/2310.4	1693.4/1366.8	2266.2	1530.1	-0.5664	3895.3	76936	2.6541	0.0039761	0.99602	0.0079523	0.051586	False
ABCF1_p30545610	ABCF1	2127.2/1755.3	1387.5/1150.8	1941.2	1269.1	-0.61273	69125	64283	2.6508	0.0040147	0.99599	0.0080295	0.05171	False
ABCC1_m16043645	ABCC1	1733.1/955.72	688.11/915.42	1344.4	801.77	-0.74497	3.0213e+05	41970	2.6487	0.0040403	0.99596	0.0080805	0.05171	False
AATF_m35306509	AATF	395.68/558.51	255.89/104.15	477.1	180.02	-1.4011	13258	12621	2.6453	0.0040814	0.99592	0.0081627	0.05171	False
ADRA1A_m26722399	ADRA1A	174.1/225.49	320.94/437.54	199.79	379.24	0.92121	1320.5	4602.3	2.6452	0.99591	0.0040891	0.0081783	0.05171	True
AHNAK2_m105423829	AHNAK2	794.52/858.59	478.45/359.43	826.55	418.94	-0.97867	2052.5	23870	2.6383	0.0041664	0.99583	0.0083328	0.052355	False
ADRBK2_p25961098	ADRBK2	2190.5/803.08	923.03/929.72	1496.8	926.38	-0.69159	9.6241e+05	47538	2.6161	0.0044471	0.99555	0.0088942	0.055365	False
AEBP2_p19615465	AEBP2	276.97/419.75	135.47/73.009	348.36	104.24	-1.731	10193	8765.2	2.615	0.0044613	0.99554	0.0089227	0.055365	False
