Gene	sgRNA	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|beta	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|z	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|fdr	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
ABT1	10	-0.32297	-2.0398	0.053	0.47009	0.041368	0.36747	-0.56212	-3.5697	0.008	0.11429	0.0003574	0.0067435
ABTB1	10	-0.023615	-0.2241	0.95	0.97336	0.82268	0.95298	0.0413	0.33221	0.686	0.90621	0.73973	0.86823
ACAD11	10	-0.083047	-0.81223	0.636	0.94312	0.41666	0.80592	-0.059289	-0.55324	0.812	0.95868	0.5801	0.78286
ACAD9	10	0.00033627	-0.041318	0.909	0.9661	0.96704	0.99451	-0.16152	-1.0664	0.413	0.75455	0.28623	0.56455
ACAT2	10	0.054236	0.37758	0.64	0.94312	0.70574	0.92151	0.12881	0.94974	0.32	0.69114	0.34224	0.62001
ACBD6	10	0.13241	0.97371	0.317	0.82338	0.3302	0.77149	-0.066069	-0.50116	0.786	0.95157	0.61626	0.80159
ACD	10	0.019956	0.21884	0.811	0.9661	0.82677	0.95318	0.056528	0.70362	0.617	0.88522	0.48167	0.72979
ACHE	10	-0.2173	-2.0577	0.164	0.664	0.039615	0.36747	-0.18546	-1.7239	0.344	0.70204	0.084728	0.30368
ACIN1	10	-0.43929	-2.3781	0.009	0.225	0.0174	0.26269	-0.87515	-4.6824	0	0	2.8352e-06	0.00013501
ACLY	10	-0.48586	-2.6206	0.005	0.18519	0.0087785	0.19621	-0.67339	-3.5935	0.002	0.04	0.0003263	0.006275
ACO2	10	0.04325	0.29497	0.698	0.94312	0.76802	0.93675	-0.055236	-0.41645	0.833	0.97316	0.67708	0.83508
ACP1	10	-0.18005	-1.9649	0.251	0.7426	0.049427	0.40703	-0.033671	-0.36283	0.92	0.97571	0.71673	0.85801
ACRC	10	0.18671	1.1161	0.147	0.63636	0.2644	0.72436	0.25337	1.5153	0.079	0.40102	0.1297	0.38261
ACSL6	10	0.10574	1.1987	0.237	0.74184	0.23063	0.68744	-0.031699	-0.25067	0.93	0.97587	0.80207	0.89828
ACSS2	10	0.17945	1.2815	0.169	0.66798	0.20001	0.66491	0.31734	2.3131	0.021	0.18421	0.020718	0.14905
ACTL6A	10	-0.23528	-1.5477	0.133	0.6129	0.1217	0.5396	-0.32955	-2.1353	0.081	0.405	0.03274	0.19275
ACTL6B	10	-0.038423	-0.36651	0.866	0.9661	0.71399	0.92151	-0.011171	-0.096213	0.968	0.98778	0.92335	0.97603
ACTL7A	10	-0.053204	-0.45781	0.774	0.9661	0.64709	0.91164	0.038395	0.30909	0.702	0.91525	0.75725	0.87443
ACTN1	10	0.20966	2.1082	0.059	0.47581	0.03501	0.35132	0.042855	0.35221	0.682	0.90584	0.72468	0.86084
ACTN4	10	0.20771	1.6746	0.119	0.59809	0.094011	0.48547	0.20229	1.6591	0.138	0.48443	0.097102	0.3226
ACTR1A	10	-0.069613	-0.41462	0.699	0.94312	0.67842	0.92151	0.0094942	0.053689	0.862	0.97408	0.95718	0.99087
ACTR3	10	-0.14749	-1.1455	0.357	0.85407	0.25198	0.70234	-0.25876	-1.9659	0.169	0.53312	0.049309	0.24171
ACTR5	10	0.33981	2.39	0.018	0.32143	0.016849	0.26269	-0.067987	-0.48312	0.778	0.9511	0.62901	0.80849
ACTR8	10	-0.73796	-3.3954	0	0	0.00068521	0.045681	-0.87869	-4.0186	0	0	5.8556e-05	0.0016266
ACTRT3	10	-0.19646	-1.3512	0.211	0.73519	0.17662	0.6377	0.021884	0.14789	0.801	0.95585	0.88243	0.96021
ACVR1B	10	0.099655	0.6207	0.433	0.90208	0.5348	0.88074	-0.014519	-0.094642	0.983	0.99193	0.9246	0.97603
ACVR1C	10	0.19164	1.6417	0.143	0.62719	0.10066	0.49166	0.41334	3.6075	0.004	0.066667	0.00030915	0.0061456
ACVR1	10	0.30663	2.4598	0.032	0.38095	0.013902	0.25612	0.10914	0.88549	0.402	0.74307	0.37589	0.64423
ACVR2A	10	-0.032322	-0.26594	0.905	0.9661	0.79029	0.94062	0.24634	1.831	0.086	0.41546	0.067103	0.27953
ACVR2B	10	0.080268	0.86244	0.521	0.94312	0.38845	0.80503	0.076087	0.87188	0.535	0.83204	0.38327	0.65072
ACVRL1	10	0.23806	2.2606	0.081	0.55479	0.023786	0.29733	0.07318	0.7081	0.546	0.83871	0.47888	0.72889
ADAD1	10	0.094731	0.87641	0.454	0.91182	0.38081	0.80503	0.022526	0.21723	0.796	0.95449	0.82803	0.91793
ADAM10	10	-0.093223	-0.87454	0.593	0.94312	0.38183	0.80503	-0.052867	-0.47835	0.843	0.97344	0.6324	0.81077
ADAM12	10	0.032942	0.22038	0.749	0.95903	0.82558	0.95318	0.15975	1.207	0.232	0.62032	0.22742	0.49711
ADAMTS5	10	-0.09994	-1.0031	0.565	0.94312	0.31581	0.75915	0.056989	0.55557	0.615	0.88362	0.57851	0.78282
ADAP1	10	-0.12103	-0.92278	0.472	0.91296	0.35612	0.78202	0.15068	1.1212	0.261	0.64951	0.26221	0.53842
ADARB1	10	0.17974	1.2522	0.177	0.68872	0.21051	0.67689	0.12022	0.87407	0.357	0.70611	0.38208	0.64979
ADARB2	10	0.17859	1.8469	0.09	0.55689	0.064768	0.42872	0.26557	2.1729	0.064	0.36782	0.029785	0.18851
ADAR	10	0.042643	0.098909	0.702	0.94312	0.92121	0.98293	-0.0066948	-0.017572	0.944	0.98131	0.98598	0.99374
ADCK1	10	0.13339	1.5072	0.163	0.664	0.13176	0.55512	0.37377	3.1422	0.009	0.11538	0.0016769	0.02329
ADCK2	10	0.21773	1.5333	0.11	0.59783	0.12521	0.54677	0.030066	0.21588	0.752	0.94236	0.82908	0.91793
ADCK3	10	0.15688	1.63	0.232	0.74184	0.10311	0.49336	0.29609	3.1535	0.033	0.24265	0.0016134	0.022724
ADCK4	10	0.33698	2.027	0.018	0.32143	0.042667	0.37427	0.16912	1.0277	0.206	0.58689	0.30408	0.5829
ADCK5	10	0.23531	1.847	0.085	0.55689	0.064752	0.42872	0.012603	0.10064	0.849	0.97408	0.91984	0.97603
ADCY1	10	0.097725	0.64887	0.44	0.90535	0.51642	0.87361	-0.019393	-0.13458	0.989	0.99198	0.89295	0.96294
ADD1	10	0.19365	1.4462	0.146	0.63478	0.14813	0.5813	0.10191	0.7859	0.429	0.76744	0.43193	0.688
ADD3	10	0.098749	1.0362	0.435	0.90249	0.30012	0.74466	-0.054825	-0.5979	0.836	0.97326	0.5499	0.76482
ADH5	10	-0.14968	-1.0036	0.351	0.85194	0.31558	0.75915	0.04755	0.31377	0.66	0.89892	0.7537	0.87233
ADH7	10	-0.041929	-0.3478	0.855	0.9661	0.72799	0.9262	0.033231	0.26018	0.735	0.93274	0.79472	0.89597
ADI1	10	0.005033	0.019623	0.87	0.9661	0.98434	0.99451	0.19722	1.4415	0.143	0.48805	0.14944	0.40491
ADIRF	10	-0.11662	-1.0994	0.508	0.94249	0.27159	0.72436	-0.18954	-1.7872	0.337	0.70143	0.073906	0.29072
ADK	10	0.26274	1.4823	0.058	0.47581	0.13827	0.56914	0.16092	0.92778	0.23	0.62032	0.35352	0.62766
ADNP2	10	0.068169	0.22642	0.699	0.94312	0.82087	0.95298	0.32039	1.8831	0.02	0.18018	0.059686	0.26293
ADNP	10	0.07906	0.60042	0.521	0.94312	0.54822	0.88632	0.4449	3.5426	0.002	0.04	0.00039618	0.0073367
ADPRHL2	10	-0.054216	-0.50899	0.772	0.9661	0.61076	0.90762	-0.0096118	-0.084157	0.961	0.98463	0.93293	0.97988
ADRA1A	10	0.1938	1.0976	0.144	0.62882	0.27236	0.72436	0.13985	0.81682	0.284	0.66047	0.41403	0.67874
ADRA1B	10	0.13894	0.95863	0.291	0.79726	0.33775	0.77975	0.078506	0.55413	0.528	0.8315	0.57949	0.78286
ADRB1	10	0.011634	0.066222	0.855	0.9661	0.9472	0.98873	-0.066913	-0.56113	0.783	0.9514	0.57471	0.78086
ADRB2	10	0.14596	1.5047	0.273	0.76901	0.13241	0.55512	-0.011368	-0.12205	0.969	0.98778	0.90286	0.96914
ADRB3	10	0.15267	0.83377	0.243	0.74184	0.40441	0.80503	0.19366	1.0872	0.152	0.50331	0.27695	0.5539
ADRBK1	10	0.30581	2.2131	0.033	0.38824	0.026892	0.31677	0.28417	2.0894	0.042	0.28	0.036669	0.20259
ADRBK2	10	0.19417	1.5461	0.137	0.61712	0.12207	0.5396	0.096986	0.78636	0.451	0.77893	0.43166	0.688
ADRM1	10	-0.11902	-0.72815	0.464	0.91211	0.46652	0.85132	-0.0084934	-0.049347	0.956	0.98463	0.96064	0.99138
AEBP1	10	-0.076528	-0.75623	0.664	0.94312	0.44951	0.83089	-0.048635	-0.45548	0.862	0.97408	0.64876	0.81811
AEBP2	10	0.00016055	-0.028179	0.901	0.9661	0.97752	0.99451	0.034941	0.27274	0.725	0.92875	0.78505	0.89008
AEN	10	0.16458	1.209	0.214	0.73667	0.22665	0.68474	-0.29074	-2.1791	0.123	0.48425	0.029324	0.18678
AES	10	0.17472	1.2626	0.182	0.69466	0.20672	0.67116	0.2441	1.8102	0.088	0.42105	0.070265	0.28373
AFAP1L2	10	0.20328	1.9079	0.124	0.59809	0.0564	0.42728	0.11728	1.1214	0.369	0.7193	0.26211	0.53842
AFF1	10	-0.14226	-0.96199	0.376	0.86636	0.33605	0.7779	0.17013	1.113	0.204	0.58621	0.26569	0.54045
AFF2	10	-0.082104	-0.50557	0.654	0.94312	0.61316	0.90762	0.21105	1.2982	0.125	0.48443	0.1942	0.46373
AFF3	10	-0.14131	-1.107	0.378	0.86696	0.2683	0.72436	-0.16345	-1.24	0.399	0.74164	0.21497	0.48734
AFF4	10	-0.019538	0.18378	0.767	0.9661	0.85418	0.95653	0.3048	2.1318	0.029	0.23016	0.033019	0.19275
AFMID	10	-0.070191	-0.59923	0.691	0.94312	0.54902	0.88632	-0.20212	-1.621	0.293	0.66743	0.10501	0.33724
AFTPH	10	0.10289	0.76833	0.416	0.88679	0.44229	0.82826	-0.0059471	-0.045958	0.942	0.98125	0.96334	0.99312
AGAP2	10	0.14725	1.4289	0.262	0.75504	0.15303	0.59083	-0.064155	-0.64181	0.795	0.95449	0.521	0.75371
AGAP3	10	0.22712	1.6531	0.093	0.55689	0.098307	0.48909	0.40403	2.9887	0.005	0.080645	0.0028017	0.036602
AGBL5	10	-0.35779	-3.6403	0.031	0.38095	0.00027236	0.031615	-0.018457	-0.18624	0.99	0.99198	0.85226	0.93552
AGFG1	10	-0.048451	-0.32474	0.81	0.9661	0.74538	0.93427	-0.00053364	-0.0033956	0.915	0.97556	0.99729	0.99729
AGL	10	0.091679	0.45812	0.464	0.91211	0.64686	0.91164	-0.13958	-0.72381	0.491	0.80687	0.46918	0.71851
AGPAT3	10	-0.099427	-0.77203	0.546	0.94312	0.4401	0.82826	-0.16439	-1.1875	0.394	0.74164	0.23505	0.50827
AGPAT5	10	-0.090875	-0.78667	0.61	0.94312	0.43148	0.8203	-0.15145	-1.2853	0.444	0.77739	0.19867	0.46528
AGTPBP1	10	0.069425	0.36417	0.57	0.94312	0.71573	0.92151	0.37947	2.1256	0.008	0.11429	0.033539	0.19275
AHCTF1	10	-0.14176	-0.78846	0.379	0.86696	0.43043	0.8203	-0.52627	-2.8468	0.012	0.13402	0.0044164	0.052577
AHCY	10	-0.39512	-1.8178	0.02	0.33333	0.069099	0.43298	-0.76461	-3.4828	0.001	0.021739	0.00049616	0.0087046
AHNAK2	10	0.23025	1.5048	0.09	0.55689	0.13238	0.55512	0.28826	1.912	0.037	0.25517	0.05588	0.25751
AHNAK	10	0.2975	1.6983	0.04	0.41667	0.089449	0.48091	0.094681	0.54899	0.461	0.7916	0.58301	0.78573
AHRR	10	0.15928	0.64496	0.22	0.73667	0.51895	0.87366	0.21804	0.88953	0.117	0.47755	0.37372	0.64323
AHR	10	0.23095	1.4629	0.089	0.55689	0.14348	0.5813	0.021828	0.13936	0.801	0.95585	0.88917	0.96294
AIF1	10	0.19751	1.3638	0.141	0.62667	0.17263	0.63465	0.077956	0.56161	0.529	0.83176	0.57438	0.78086
AIFM1	10	0.56434	1.5792	0	0	0.11428	0.52423	0.56948	1.593	0	0	0.11115	0.34735
AIFM3	10	-0.025363	-0.41515	0.896	0.9661	0.67803	0.92151	-0.085574	-0.93233	0.712	0.92348	0.35117	0.62766
AIM2	10	0.00033111	-0.043074	0.901	0.9661	0.96564	0.99451	0.21993	2.6607	0.117	0.47755	0.0077976	0.077852
AIMP1	10	0.18727	0.83944	0.151	0.6453	0.40122	0.80503	0.088454	0.40194	0.484	0.80165	0.68773	0.83972
AIMP2	10	-0.047343	-0.58433	0.81	0.9661	0.559	0.88992	-0.13028	-1.51	0.528	0.8315	0.13105	0.38321
AIPL1	10	-0.087369	-0.31593	0.866	0.9661	0.75206	0.93427	-0.01306	-0.097077	0.975	0.98884	0.92267	0.97603
AIP	10	0.014203	0.073327	0.853	0.9661	0.94155	0.98873	-0.30927	-2.4169	0.098	0.4375	0.015651	0.1243
AIRE	10	-0.097389	-0.76417	0.554	0.94312	0.44477	0.82932	0.12692	0.92686	0.328	0.69492	0.354	0.62766
AJUBA	10	-0.075834	-0.66472	0.67	0.94312	0.50623	0.86832	0.16564	1.3838	0.211	0.58939	0.16643	0.42564
AK1	10	0.046932	0.37096	0.676	0.94312	0.71067	0.92151	0.094137	0.80789	0.465	0.7916	0.41915	0.68022
AKAP11	10	0.0057972	-0.027249	0.908	0.9661	0.97826	0.99451	0.2644	1.2272	0.068	0.38636	0.21973	0.49267
AKAP13	10	-0.01227	-0.13026	0.965	0.98077	0.89636	0.97536	-0.035043	-0.28933	0.912	0.97556	0.77233	0.88367
AKAP6	10	0.22463	1.2152	0.096	0.56805	0.2243	0.68454	0.21632	1.1907	0.12	0.47809	0.23377	0.50709
AKAP8L	10	-0.042267	-0.43302	0.841	0.9661	0.665	0.92151	-0.25921	-2.4049	0.169	0.53312	0.016175	0.12442
AKAP8	10	0.07069	0.6826	0.566	0.94312	0.49486	0.86138	-0.060777	-0.62585	0.807	0.9573	0.53141	0.75473
AKIP1	10	-0.11657	-0.68525	0.495	0.93045	0.49319	0.86138	-0.19273	-1.1108	0.323	0.69165	0.26665	0.54045
AKIRIN1	10	-0.14588	-0.9964	0.362	0.85782	0.31906	0.75974	-0.23777	-1.5813	0.208	0.58757	0.11381	0.35125
AKIRIN2	10	-0.38666	-2.4428	0.022	0.33333	0.014575	0.25612	-0.41965	-2.6236	0.035	0.24648	0.0087006	0.082081
AKNA	10	0.16205	0.81749	0.22	0.73667	0.41365	0.80503	0.28567	1.4752	0.04	0.27027	0.14016	0.3872
AKR1B1	10	0.025224	0.20721	0.799	0.9661	0.83585	0.95525	0.063805	0.63222	0.586	0.86277	0.52724	0.75371
AKR1C3	10	0.12083	1.3296	0.195	0.72059	0.18366	0.64441	0.26817	2.1232	0.061	0.35673	0.03374	0.1928
AKT1S1	10	-0.12511	-0.83027	0.435	0.90249	0.40639	0.80503	0.0081803	0.051912	0.872	0.97408	0.9586	0.99125
AKT1	10	0.039083	0.26005	0.708	0.94312	0.79483	0.94062	0.38755	2.8216	0.006	0.089552	0.004778	0.054444
AKT2	10	0.049701	0.46295	0.663	0.94312	0.6434	0.91164	0.14836	1.4852	0.265	0.64951	0.13748	0.38402
AKT3	10	0.16584	1.2735	0.21	0.73427	0.20284	0.6681	0.27723	2.1811	0.05	0.3125	0.029175	0.18678
ALAS1	10	-0.13383	-1.2146	0.408	0.88312	0.22453	0.68454	-0.30468	-2.677	0.104	0.45217	0.0074276	0.075891
ALDH1A2	10	-0.076725	-0.62589	0.667	0.94312	0.53138	0.88074	0.26005	2.0296	0.072	0.39691	0.042394	0.22293
ALDH1B1	10	-0.14188	-1.269	0.383	0.86696	0.20444	0.6681	-0.096906	-0.8487	0.661	0.89892	0.39605	0.66229
ALDH6A1	10	-0.03749	0.066455	0.854	0.9661	0.94702	0.98873	0.050622	0.39994	0.645	0.89488	0.6892	0.83984
ALDH7A1	10	-0.092722	-0.3983	0.843	0.9661	0.69041	0.92151	0.17114	1.4806	0.201	0.58261	0.13872	0.38642
ALG2	10	-0.54313	-3.2087	0.003	0.13043	0.0013335	0.058731	-0.80007	-4.6876	0	0	2.7641e-06	0.00013501
ALKBH2	10	2.6437e-05	-0.027195	0.9	0.9661	0.9783	0.99451	0.16591	1.5049	0.211	0.58939	0.13236	0.38366
ALKBH3	10	-0.080714	-0.8813	0.643	0.94312	0.37815	0.80458	0.091577	0.94767	0.471	0.7916	0.3433	0.62079
ALKBH4	10	0.023546	0.17863	0.802	0.9661	0.85823	0.95697	-0.11691	-1.0757	0.573	0.85141	0.28207	0.55907
ALKBH5	10	-0.13018	-0.49684	0.643	0.94312	0.6193	0.90762	-0.15763	-0.91932	0.429	0.76744	0.35793	0.63128
ALKBH6	10	0.079049	0.71745	0.519	0.94312	0.4731	0.85396	0.06664	0.63263	0.568	0.8503	0.52697	0.75371
ALKBH7	10	-0.086037	-0.62244	0.622	0.94312	0.53365	0.88074	-0.072592	-0.49979	0.759	0.94521	0.61722	0.80159
ALKBH8	10	-0.15309	-0.94493	0.337	0.85037	0.34469	0.77975	0.20383	1.2362	0.136	0.48443	0.21638	0.48734
ALK	10	0.10277	0.59427	0.416	0.88679	0.55233	0.88632	0.19175	1.1462	0.156	0.51316	0.25172	0.52772
ALMS1	10	-0.15309	-0.84984	0.331	0.84439	0.39541	0.80503	-0.27679	-1.5025	0.142	0.48797	0.13297	0.38402
ALOX15	10	-0.1013	-0.55477	0.778	0.9661	0.57905	0.89599	-0.11916	-1.1714	0.565	0.8503	0.24143	0.51477
ALOX5AP	10	-0.034174	-0.45123	0.855	0.9661	0.65182	0.91164	-0.081849	-0.84096	0.727	0.92875	0.40037	0.66839
ALOX5	10	-0.0041805	-0.053958	0.918	0.9667	0.95697	0.99271	-0.089182	-0.61777	0.695	0.91327	0.53672	0.75694
ALPK1	10	0.17795	1.2198	0.169	0.66798	0.22254	0.68454	0.13551	0.94236	0.301	0.67411	0.34601	0.62322
ALPK2	10	0.10176	0.60735	0.535	0.94312	0.54362	0.88632	0.25254	2.1263	0.08	0.40404	0.033479	0.19275
ALPK3	10	0.15958	1.2564	0.222	0.73754	0.20897	0.67627	0.058433	0.47042	0.612	0.88058	0.63806	0.81385
ALS2CR8	10	0.17113	1.0907	0.196	0.72059	0.27541	0.72861	0.21282	1.3872	0.123	0.48425	0.16539	0.42517
ALX1	10	0.16322	1.7313	0.22	0.73667	0.083402	0.46725	-0.048846	-0.53259	0.859	0.97408	0.59432	0.79466
ALX3	10	-0.025106	-0.19705	0.947	0.97336	0.84379	0.95525	-0.20349	-1.4106	0.29	0.66667	0.15836	0.41613
ALX4	10	-0.047557	-0.43154	0.807	0.9661	0.66608	0.92151	0.073264	0.60759	0.546	0.83871	0.54346	0.76115
ALYREF	10	-0.012087	-0.11727	0.969	0.98077	0.90665	0.97669	-0.33359	-2.3534	0.077	0.39691	0.018602	0.13779
AMER1	10	0.22632	1.8434	0.09	0.55689	0.065274	0.42872	0.214	1.7432	0.12	0.47809	0.0813	0.30094
AMHR2	10	0.059117	0.56224	0.621	0.94312	0.57395	0.8954	-0.057442	-0.59065	0.821	0.96588	0.55476	0.76836
AMIGO2	10	0.31197	2.5853	0.03	0.38095	0.0097284	0.21149	-0.11694	-0.9822	0.573	0.85141	0.326	0.60259
AMOTL1	10	-0.069798	-0.60343	0.694	0.94312	0.54622	0.88632	0.062176	0.50471	0.591	0.86277	0.61376	0.80021
AMOT	10	0.048293	0.36837	0.654	0.94312	0.7126	0.92151	0.069312	0.52942	0.561	0.84743	0.59652	0.79535
ANAPC10	10	-0.21214	-1.3988	0.179	0.6938	0.16186	0.6108	-0.30159	-1.9576	0.106	0.4569	0.050275	0.24252
ANAPC11	10	-0.41944	-1.8892	0.013	0.2766	0.058871	0.42872	-0.86874	-3.8689	0	0	0.00010934	0.0026487
ANAPC13	10	0.11073	0.75062	0.387	0.86696	0.45288	0.83404	-0.36264	-2.549	0.059	0.34911	0.010803	0.094761
ANAPC15	10	-0.28458	-1.6018	0.077	0.54545	0.10919	0.50551	-0.93989	-5.1892	0	0	2.1118e-07	1.8355e-05
ANAPC16	10	0.31864	2.1506	0.027	0.36	0.031507	0.33529	0.34438	2.3668	0.012	0.13402	0.017941	0.13461
ANAPC1	10	0.042933	0.2559	0.698	0.94312	0.79802	0.94218	-0.034658	-0.22376	0.913	0.97556	0.82295	0.91407
ANAPC2	10	-0.65901	-2.5602	0	0	0.010461	0.22257	-1.1105	-4.2553	0	0	2.0872e-05	0.0006139
ANAPC4	10	-0.89454	-3.283	0	0	0.001027	0.048902	-1.8648	-6.7118	0	0	1.9228e-11	6.4093e-09
ANAPC5	10	-0.21104	-1.4821	0.182	0.69466	0.1383	0.56914	-0.5395	-3.7341	0.009	0.11538	0.00018836	0.0043032
ANAPC7	10	-0.37658	-2.0844	0.023	0.33824	0.037127	0.36344	-0.85447	-4.6894	0	0	2.7401e-06	0.00013501
ANGPT2	10	0.25163	1.6361	0.063	0.48462	0.10182	0.49166	0.0025801	0.016895	0.898	0.97408	0.98652	0.99374
ANG	10	0.00096578	-0.022125	0.899	0.9661	0.98235	0.99451	-0.1623	-1.2795	0.408	0.75	0.20072	0.46896
ANK3	10	0.39007	2.9502	0.01	0.2381	0.0031762	0.098196	0.0072808	0.055097	0.878	0.97408	0.95606	0.99074
ANKHD1	10	0.010199	0.026926	0.865	0.9661	0.97852	0.99451	-0.18841	-1.1581	0.338	0.70143	0.24683	0.52074
ANKK1	10	0.39857	1.8444	0.008	0.20513	0.065128	0.42872	0.41613	1.9403	0.004	0.066667	0.052338	0.24621
ANKLE2	10	-0.17494	-1.2273	0.248	0.74184	0.21972	0.68454	-0.0041071	-0.027454	0.931	0.97589	0.9781	0.99374
ANKRA2	10	-0.024385	0.19256	0.785	0.9661	0.84731	0.95525	-0.087069	-0.75612	0.706	0.91927	0.44958	0.70467
ANKRD11	10	-0.12662	-0.79835	0.654	0.94312	0.42466	0.8151	-0.33548	-3.2436	0.075	0.39691	0.0011802	0.017903
ANKRD12	10	0.12115	0.68589	0.452	0.91182	0.49278	0.86138	0.11451	0.85838	0.382	0.7304	0.39068	0.65661
ANKRD17	10	-0.088376	-0.54284	0.604	0.94312	0.58724	0.89655	-0.79383	-4.6108	0.001	0.021739	4.0114e-06	0.00016714
ANKRD1	10	0.20044	1.5503	0.129	0.60849	0.12108	0.5396	0.33058	2.6069	0.015	0.14706	0.0091362	0.082308
ANKRD23	10	-0.066518	-0.53477	0.704	0.94312	0.59281	0.90093	0.090636	0.68135	0.473	0.79229	0.49565	0.7431
ANKRD28	10	0.082887	0.83888	0.507	0.94238	0.40154	0.80503	0.051286	0.54656	0.644	0.89488	0.58468	0.78691
ANKRD30A	10	0.085689	0.65367	0.483	0.91825	0.51333	0.87152	0.041742	0.33254	0.685	0.90621	0.73948	0.86823
ANKRD32	10	0.016862	0.4558	0.575	0.94312	0.64854	0.91164	0.13844	0.99405	0.289	0.6659	0.3202	0.59623
ANKRD34B	10	0.25723	2.3644	0.032	0.38095	0.018057	0.26269	0.13173	1.0252	0.314	0.68845	0.30529	0.5829
ANKRD37	10	-0.052044	-0.41183	0.786	0.9661	0.68047	0.92151	-0.080144	-0.59607	0.73	0.92875	0.55113	0.76546
ANKRD42	10	0.1307	1.1636	0.316	0.82292	0.24461	0.69688	-0.050885	-0.45845	0.854	0.97408	0.64663	0.81748
ANKRD49	10	0.18254	1.0216	0.165	0.664	0.30696	0.7542	-0.20256	-1.1622	0.291	0.66743	0.24516	0.51941
ANKRD54	10	-0.10382	-0.83658	0.537	0.94312	0.40283	0.80503	-0.14106	-1.0933	0.485	0.80165	0.27427	0.55073
ANKRD6	10	0.27789	1.7613	0.048	0.47009	0.07818	0.46155	0.27211	1.7513	0.057	0.34337	0.079887	0.29809
ANKRD7	10	-0.21004	-1.8157	0.189	0.71321	0.069419	0.43298	0.048201	0.41226	0.656	0.89892	0.68015	0.83625
ANKS1A	10	-0.15196	-1.1288	0.339	0.85037	0.25898	0.71346	-0.22951	-1.6675	0.228	0.62032	0.095421	0.31913
ANKS1B	10	0.14705	1.2009	0.189	0.71321	0.22978	0.68744	0.18979	1.3436	0.16	0.52117	0.17909	0.44851
ANLN	10	-0.28535	-1.6595	0.076	0.54545	0.097022	0.48799	-0.65246	-3.7328	0.003	0.054545	0.00018934	0.0043032
ANO2	10	-0.018004	-0.20525	0.981	0.98692	0.83738	0.95525	0.19002	1.7297	0.16	0.52117	0.083692	0.30305
ANO7	10	-0.1028	-0.93638	0.553	0.94312	0.34908	0.77975	-0.14481	-1.2859	0.472	0.79195	0.19847	0.46528
ANP32A	10	-0.053383	-0.38596	0.774	0.9661	0.69953	0.92151	-0.10733	-0.72826	0.621	0.88778	0.46645	0.71652
ANP32B	10	0.10988	0.88967	0.391	0.86696	0.37364	0.80181	-0.22636	-1.9079	0.234	0.62368	0.056404	0.25755
