Gene	sgRNA	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|beta	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|z	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|fdr	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-p-value	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
ACLY	10	-0.49075	-2.6206	0.006	0.15	0.0087785	0.19621	-0.67339	-3.5935	0.001	0.02	0.0003263	0.006275
ACO2	10	0.039124	0.29497	0.731	0.97154	0.76802	0.93675	-0.055236	-0.41645	0.833	0.95716	0.67708	0.83508
ACP1	10	-0.1824	-1.9649	0.286	0.80563	0.049427	0.40703	-0.033671	-0.36283	0.926	0.9728	0.71673	0.85801
ACRC	10	0.18667	1.1161	0.152	0.67556	0.2644	0.72436	0.25337	1.5153	0.083	0.43005	0.1297	0.38261
ACSL6	10	0.15157	1.1987	0.237	0.78176	0.23063	0.68744	-0.031699	-0.25067	0.933	0.9739	0.80207	0.89828
ACSS2	10	0.17583	1.2815	0.178	0.72065	0.20001	0.66491	0.31734	2.3131	0.035	0.28226	0.020718	0.14905
ACTL6A	10	-0.23888	-1.5477	0.159	0.6913	0.1217	0.5396	-0.32955	-2.1353	0.095	0.45455	0.03274	0.19275
ACTL6B	10	-0.042555	-0.36651	0.841	0.97905	0.71399	0.92151	-0.011171	-0.096213	0.957	0.98359	0.92335	0.97603
ACTL7A	10	-0.056891	-0.45781	0.768	0.97382	0.64709	0.91164	0.038395	0.30909	0.694	0.90039	0.75725	0.87443
ACTN1	10	0.25643	2.1082	0.048	0.43243	0.03501	0.35132	0.042855	0.35221	0.676	0.89536	0.72468	0.86084
ACTN4	10	0.20426	1.6746	0.122	0.63542	0.094011	0.48547	0.20229	1.6591	0.139	0.50175	0.097102	0.3226
ACTR1A	10	-0.073349	-0.41462	0.69	0.96779	0.67842	0.92151	0.0094942	0.053689	0.842	0.95716	0.95718	0.99087
ACTR3	10	-0.15078	-1.1455	0.365	0.86905	0.25198	0.70234	-0.25876	-1.9659	0.182	0.56698	0.049309	0.24171
ACTR5	10	0.33619	2.39	0.01	0.20408	0.016849	0.26269	-0.067987	-0.48312	0.772	0.94492	0.62901	0.80849
ACTR8	10	-0.74234	-3.3954	0	0	0.00068521	0.045681	-0.87869	-4.0186	0	0	5.8556e-05	0.0016266
ACTRT3	10	-0.20005	-1.3512	0.243	0.78413	0.17662	0.6377	0.021884	0.14789	0.788	0.94826	0.88243	0.96021
ACVR1B	10	0.095217	0.6207	0.465	0.93725	0.5348	0.88074	-0.014519	-0.094642	0.976	0.98889	0.9246	0.97603
ACVR1C	10	0.18816	1.6417	0.147	0.65919	0.10066	0.49166	0.41334	3.6075	0.006	0.085714	0.00030915	0.0061456
ACVR1	10	0.30315	2.4598	0.021	0.31343	0.013902	0.25612	0.10914	0.88549	0.419	0.77007	0.37589	0.64423
ACVR2A	10	-0.035798	-0.26594	0.877	0.98067	0.79029	0.94062	0.24634	1.831	0.091	0.45455	0.067103	0.27953
ACVR2B	10	0.075266	0.86244	0.546	0.96127	0.38845	0.80503	0.076087	0.87188	0.537	0.83256	0.38327	0.65072
ACVRL1	10	0.23362	2.2606	0.073	0.52857	0.023786	0.29733	0.07318	0.7081	0.548	0.83689	0.47888	0.72889
ADAD1	10	0.090882	0.87641	0.478	0.93725	0.38081	0.80503	0.022526	0.21723	0.785	0.94826	0.82803	0.91793
ADAM10	10	-0.096733	-0.87454	0.577	0.9662	0.38183	0.80503	-0.052867	-0.47835	0.841	0.95716	0.6324	0.81077
ADAM12	10	0.029205	0.22038	0.779	0.97382	0.82558	0.95318	0.15975	1.207	0.231	0.62097	0.22742	0.49711
ADAMTS5	10	-0.10295	-1.0031	0.552	0.96167	0.31581	0.75915	0.056989	0.55557	0.621	0.87921	0.57851	0.78282
ADAP1	10	-0.1241	-0.92278	0.464	0.93725	0.35612	0.78202	0.15068	1.1212	0.256	0.64484	0.26221	0.53842
ADARB1	10	0.17225	1.2522	0.188	0.73725	0.21051	0.67689	0.12022	0.87407	0.356	0.71032	0.38208	0.64979
ADARB2	10	0.22577	1.8469	0.084	0.54902	0.064768	0.42872	0.26557	2.1729	0.071	0.40805	0.029785	0.18851
ADAR	10	0.037706	0.098909	0.742	0.97154	0.92121	0.98293	-0.0066948	-0.017572	0.933	0.9739	0.98598	0.99374
ADCK1	10	0.17929	1.5072	0.167	0.6971	0.13176	0.55512	0.37377	3.1422	0.013	0.15476	0.0016769	0.02329
ADCK2	10	0.21342	1.5333	0.105	0.58333	0.12521	0.54677	0.030066	0.21588	0.743	0.92884	0.82908	0.91793
ADCK3	10	0.15313	1.63	0.233	0.78176	0.10311	0.49336	0.29609	3.1535	0.048	0.34028	0.0016134	0.022724
ADCK4	10	0.33353	2.027	0.011	0.22	0.042667	0.37427	0.16912	1.0277	0.207	0.60174	0.30408	0.5829
ADCK5	10	0.23128	1.847	0.074	0.52857	0.064752	0.42872	0.012603	0.10064	0.825	0.95716	0.91984	0.97603
ADCY1	10	0.0935	0.64887	0.468	0.93725	0.51642	0.87361	-0.019393	-0.13458	0.994	0.994	0.89295	0.96294
ADD1	10	0.18753	1.4462	0.15	0.66964	0.14813	0.5813	0.10191	0.7859	0.448	0.79012	0.43193	0.688
ADD3	10	0.095013	1.0362	0.465	0.93725	0.30012	0.74466	-0.054825	-0.5979	0.835	0.95716	0.5499	0.76482
ADH5	10	-0.1522	-1.0036	0.363	0.86905	0.31558	0.75915	0.04755	0.31377	0.658	0.89037	0.7537	0.87233
ADH7	10	-0.044444	-0.3478	0.831	0.97655	0.72799	0.9262	0.033231	0.26018	0.723	0.91751	0.79472	0.89597
ADI1	10	0.0026854	0.019623	0.921	0.98397	0.98434	0.99451	0.19722	1.4415	0.146	0.50871	0.14944	0.40491
ADIRF	10	-0.11662	-1.0994	0.489	0.94584	0.27159	0.72436	-0.18954	-1.7872	0.33	0.69831	0.073906	0.29072
ADK	10	0.2571	1.4823	0.048	0.43243	0.13827	0.56914	0.16092	0.92778	0.226	0.6158	0.35352	0.62766
ADNP2	10	0.038557	0.22642	0.735	0.97154	0.82087	0.95298	0.32039	1.8831	0.033	0.275	0.059686	0.26293
ADNP	10	0.075437	0.60042	0.545	0.96127	0.54822	0.88632	0.4449	3.5426	0.006	0.085714	0.00039618	0.0073367
ADPRHL2	10	-0.058165	-0.50899	0.764	0.97382	0.61076	0.90762	-0.0096118	-0.084157	0.954	0.98351	0.93293	0.97988
ADRA1A	10	0.18799	1.0976	0.147	0.65919	0.27236	0.72436	0.13985	0.81682	0.289	0.67523	0.41403	0.67874
ADRA1B	10	0.13584	0.95863	0.285	0.80508	0.33775	0.77975	0.078506	0.55413	0.533	0.83022	0.57949	0.78286
ADRB1	10	0.0078971	0.066222	0.898	0.98067	0.9472	0.98873	-0.066913	-0.56113	0.781	0.94782	0.57471	0.78086
ADRB2	10	0.14014	1.5047	0.267	0.7994	0.13241	0.55512	-0.011368	-0.12205	0.958	0.98359	0.90286	0.96914
ADRB3	10	0.14869	0.83377	0.245	0.78413	0.40441	0.80503	0.19366	1.0872	0.157	0.5298	0.27695	0.5539
ADRBK1	10	0.30099	2.2131	0.022	0.31884	0.026892	0.31677	0.28417	2.0894	0.054	0.35526	0.036669	0.20259
ADRBK2	10	0.1907	1.5461	0.143	0.65919	0.12207	0.5396	0.096986	0.78636	0.469	0.80584	0.43166	0.688
ADRM1	10	-0.12541	-0.72815	0.461	0.93725	0.46652	0.85132	-0.0084934	-0.049347	0.949	0.9824	0.96064	0.99138
AEBP1	10	-0.080753	-0.75623	0.657	0.9662	0.44951	0.83089	-0.048635	-0.45548	0.856	0.95749	0.64876	0.81811
AEBP2	10	-0.0036112	-0.028179	0.955	0.98861	0.97752	0.99451	0.034941	0.27274	0.711	0.90458	0.78505	0.89008
AEN	10	0.16106	1.209	0.215	0.76042	0.22665	0.68474	-0.29074	-2.1791	0.138	0.50175	0.029324	0.18678
AES	10	0.17032	1.2626	0.195	0.75	0.20672	0.67116	0.2441	1.8102	0.094	0.45455	0.070265	0.28373
AFAP1L2	10	0.19954	1.9079	0.128	0.64646	0.0564	0.42728	0.11728	1.1214	0.372	0.72798	0.26211	0.53842
AFF1	10	-0.14721	-0.96199	0.377	0.88167	0.33605	0.7779	0.17013	1.113	0.205	0.59942	0.26569	0.54045
AFF2	10	-0.082417	-0.50557	0.65	0.9662	0.61316	0.90762	0.21105	1.2982	0.123	0.4881	0.1942	0.46373
AFF3	10	-0.14596	-1.107	0.38	0.88167	0.2683	0.72436	-0.16345	-1.24	0.413	0.76952	0.21497	0.48734
AFF4	10	0.026292	0.18378	0.794	0.97655	0.85418	0.95653	0.3048	2.1318	0.045	0.33094	0.033019	0.19275
AFMID	10	-0.074714	-0.59923	0.686	0.9662	0.54902	0.88632	-0.20212	-1.621	0.305	0.68539	0.10501	0.33724
AFTPH	10	0.099426	0.76833	0.449	0.93725	0.44229	0.82826	-0.0059471	-0.045958	0.929	0.9728	0.96334	0.99312
AGAP2	10	0.14281	1.4289	0.261	0.79573	0.15303	0.59083	-0.064155	-0.64181	0.801	0.95657	0.521	0.75371
AGAP3	10	0.22353	1.6531	0.086	0.5503	0.098307	0.48909	0.40403	2.9887	0.008	0.10811	0.0028017	0.036602
AGBL5	10	-0.36103	-3.6403	0.038	0.39583	0.00027236	0.031615	-0.018457	-0.18624	0.993	0.994	0.85226	0.93552
AGFG1	10	-0.051099	-0.32474	0.794	0.97655	0.74538	0.93427	-0.00053364	-0.0033956	0.894	0.96753	0.99729	0.99729
AGL	10	0.088274	0.45812	0.486	0.94369	0.64686	0.91164	-0.13958	-0.72381	0.479	0.81113	0.46918	0.71851
AGPAT3	10	-0.10691	-0.77203	0.534	0.95699	0.4401	0.82826	-0.16439	-1.1875	0.41	0.76952	0.23505	0.50827
AGPAT5	10	-0.092709	-0.78667	0.59	0.9662	0.43148	0.8203	-0.15145	-1.2853	0.447	0.78975	0.19867	0.46528
AGTPBP1	10	0.065087	0.36417	0.596	0.9662	0.71573	0.92151	0.37947	2.1256	0.012	0.14634	0.033539	0.19275
AHCTF1	10	-0.14569	-0.78846	0.382	0.88426	0.43043	0.8203	-0.52627	-2.8468	0.007	0.098592	0.0044164	0.052577
AHCY	10	-0.39875	-1.8178	0.026	0.34568	0.069099	0.43298	-0.76461	-3.4828	0.001	0.02	0.00049616	0.0087046
AHNAK2	10	0.22689	1.5048	0.083	0.54902	0.13238	0.55512	0.28826	1.912	0.051	0.34667	0.05588	0.25751
AHNAK	10	0.29268	1.6983	0.028	0.34568	0.089449	0.48091	0.094681	0.54899	0.481	0.81113	0.58301	0.78573
AHRR	10	0.15831	0.64496	0.219	0.76042	0.51895	0.87366	0.21804	0.88953	0.116	0.4856	0.37372	0.64323
AHR	10	0.22901	1.4629	0.077	0.54225	0.14348	0.5813	0.021828	0.13936	0.788	0.94826	0.88917	0.96294
AIF1	10	0.1893	1.3638	0.146	0.65919	0.17263	0.63465	0.077956	0.56161	0.535	0.83075	0.57438	0.78086
AIFM1	10	0.56431	1.5792	0	0	0.11428	0.52423	0.56948	1.593	0.001	0.02	0.11115	0.34735
AIFM3	10	-0.038106	-0.41515	0.864	0.98067	0.67803	0.92151	-0.085574	-0.93233	0.689	0.90039	0.35117	0.62766
AIM2	10	-0.0035608	-0.043074	0.955	0.98861	0.96564	0.99451	0.21993	2.6607	0.114	0.4856	0.0077976	0.077852
AIMP1	10	0.18476	0.83944	0.157	0.6886	0.40122	0.80503	0.088454	0.40194	0.505	0.81947	0.68773	0.83972
AIMP2	10	-0.050417	-0.58433	0.799	0.97655	0.559	0.88992	-0.13028	-1.51	0.509	0.81947	0.13105	0.38321
AIPL1	10	-0.042508	-0.31593	0.841	0.97905	0.75206	0.93427	-0.01306	-0.097077	0.973	0.98889	0.92267	0.97603
AIP	10	0.0093805	0.073327	0.892	0.98067	0.94155	0.98873	-0.30927	-2.4169	0.116	0.4856	0.015651	0.1243
AIRE	10	-0.10487	-0.76417	0.546	0.96127	0.44477	0.82932	0.12692	0.92686	0.328	0.69787	0.354	0.62766
AJUBA	10	-0.079606	-0.66472	0.657	0.9662	0.50623	0.86832	0.16564	1.3838	0.215	0.6108	0.16643	0.42564
AK1	10	0.043245	0.37096	0.706	0.97154	0.71067	0.92151	0.094137	0.80789	0.486	0.81575	0.41915	0.68022
AKAP11	10	-0.0058898	-0.027249	0.96	0.99174	0.97826	0.99451	0.2644	1.2272	0.071	0.40805	0.21973	0.49267
AKAP13	10	-0.015781	-0.13026	0.986	0.99596	0.89636	0.97536	-0.035043	-0.28933	0.919	0.97252	0.77233	0.88367
AKAP6	10	0.22086	1.2152	0.091	0.5503	0.2243	0.68454	0.21632	1.1907	0.118	0.4856	0.23377	0.50709
AKAP8L	10	-0.046669	-0.43302	0.814	0.97655	0.665	0.92151	-0.25921	-2.4049	0.181	0.56562	0.016175	0.12442
AKAP8	10	0.066287	0.6826	0.587	0.9662	0.49486	0.86138	-0.060777	-0.62585	0.813	0.95657	0.53141	0.75473
AKIP1	10	-0.1189	-0.68525	0.481	0.94129	0.49319	0.86138	-0.19273	-1.1108	0.323	0.69462	0.26665	0.54045
AKIRIN1	10	-0.14983	-0.9964	0.368	0.87204	0.31906	0.75974	-0.23777	-1.5813	0.224	0.6158	0.11381	0.35125
AKIRIN2	10	-0.39075	-2.4428	0.027	0.34568	0.014575	0.25612	-0.41965	-2.6236	0.034	0.27869	0.0087006	0.082081
AKNA	10	0.15836	0.81749	0.219	0.76042	0.41365	0.80503	0.28567	1.4752	0.052	0.34667	0.14016	0.3872
AKR1B1	10	0.020914	0.20721	0.833	0.97655	0.83585	0.95525	0.063805	0.63222	0.59	0.86404	0.52724	0.75371
AKR1C3	10	0.16801	1.3296	0.204	0.76042	0.18366	0.64441	0.26817	2.1232	0.068	0.39766	0.03374	0.1928
AKT1S1	10	-0.13085	-0.83027	0.443	0.93725	0.40639	0.80503	0.0081803	0.051912	0.847	0.95716	0.9586	0.99125
AKT1	10	0.035728	0.26005	0.748	0.97154	0.79483	0.94062	0.38755	2.8216	0.011	0.1358	0.004778	0.054444
AKT2	10	0.046247	0.46295	0.686	0.9662	0.6434	0.91164	0.14836	1.4852	0.264	0.65025	0.13748	0.38402
AKT3	10	0.1619	1.2735	0.215	0.76042	0.20284	0.6681	0.27723	2.1811	0.059	0.37107	0.029175	0.18678
ALAS1	10	-0.13822	-1.2146	0.422	0.92576	0.22453	0.68454	-0.30468	-2.677	0.12	0.48594	0.0074276	0.075891
ALDH1A2	10	-0.080236	-0.62589	0.657	0.9662	0.53138	0.88074	0.26005	2.0296	0.075	0.41436	0.042394	0.22293
ALDH1B1	10	-0.14495	-1.269	0.387	0.88838	0.20444	0.6681	-0.096906	-0.8487	0.646	0.88615	0.39605	0.66229
ALDH6A1	10	0.0084129	0.066455	0.896	0.98067	0.94702	0.98873	0.050622	0.39994	0.641	0.88536	0.6892	0.83984
ALDH7A1	10	-0.04605	-0.3983	0.818	0.97655	0.69041	0.92151	0.17114	1.4806	0.202	0.59763	0.13872	0.38642
ALG2	10	-0.54747	-3.2087	0.002	0.086957	0.0013335	0.058731	-0.80007	-4.6876	0	0	2.7641e-06	0.00013501
ALKBH2	10	-0.0029992	-0.027195	0.953	0.98861	0.9783	0.99451	0.16591	1.5049	0.214	0.6108	0.13236	0.38366
ALKBH3	10	-0.085209	-0.8813	0.634	0.9662	0.37815	0.80458	0.091577	0.94767	0.496	0.81947	0.3433	0.62079
ALKBH4	10	0.019413	0.17863	0.84	0.97905	0.85823	0.95697	-0.11691	-1.0757	0.559	0.83934	0.28207	0.55907
ALKBH5	10	-0.0852	-0.49684	0.634	0.9662	0.6193	0.90762	-0.15763	-0.91932	0.432	0.78403	0.35793	0.63128
ALKBH6	10	0.075594	0.71745	0.544	0.96127	0.4731	0.85396	0.06664	0.63263	0.575	0.84934	0.52697	0.75371
ALKBH7	10	-0.09044	-0.62244	0.603	0.9662	0.53365	0.88074	-0.072592	-0.49979	0.748	0.93267	0.61722	0.80159
ALKBH8	10	-0.15603	-0.94493	0.352	0.8652	0.34469	0.77975	0.20383	1.2362	0.139	0.50175	0.21638	0.48734
ALK	10	0.099538	0.59427	0.449	0.93725	0.55233	0.88632	0.19175	1.1462	0.162	0.53465	0.25172	0.52772
ALMS1	10	-0.15656	-0.84984	0.35	0.8652	0.39541	0.80503	-0.27679	-1.5025	0.154	0.5256	0.13297	0.38402
ALOX15	10	-0.056435	-0.55477	0.769	0.97382	0.57905	0.89599	-0.11916	-1.1714	0.549	0.83689	0.24143	0.51477
ALOX5AP	10	-0.043937	-0.45123	0.833	0.97655	0.65182	0.91164	-0.081849	-0.84096	0.703	0.90166	0.40037	0.66839
ALOX5	10	-0.0077899	-0.053958	0.97	0.99385	0.95697	0.99271	-0.089182	-0.61777	0.679	0.89605	0.53672	0.75694
ALPK1	10	0.17544	1.2198	0.178	0.72065	0.22254	0.68454	0.13551	0.94236	0.301	0.68539	0.34601	0.62322
ALPK2	10	0.072148	0.60735	0.563	0.96422	0.54362	0.88632	0.25254	2.1263	0.083	0.43005	0.033479	0.19275
ALPK3	10	0.15607	1.2564	0.226	0.77663	0.20897	0.67627	0.058433	0.47042	0.61	0.87268	0.63806	0.81385
ALS2CR8	10	0.16735	1.0907	0.205	0.76042	0.27541	0.72861	0.21282	1.3872	0.121	0.48594	0.16539	0.42517
ALX1	10	0.15878	1.7313	0.218	0.76042	0.083402	0.46725	-0.048846	-0.53259	0.855	0.95749	0.59432	0.79466
ALX3	10	-0.028412	-0.19705	0.906	0.98067	0.84379	0.95525	-0.20349	-1.4106	0.301	0.68539	0.15836	0.41613
ALX4	10	-0.052052	-0.43154	0.789	0.97655	0.66608	0.92151	0.073264	0.60759	0.548	0.83689	0.54346	0.76115
ALYREF	10	-0.01661	-0.11727	0.978	0.99596	0.90665	0.97669	-0.33359	-2.3534	0.092	0.45455	0.018602	0.13779
AMER1	10	0.22632	1.8434	0.083	0.54902	0.065274	0.42872	0.214	1.7432	0.119	0.48571	0.0813	0.30094
AMHR2	10	0.054679	0.56224	0.651	0.9662	0.57395	0.8954	-0.057442	-0.59065	0.821	0.95716	0.55476	0.76836
AMIGO2	10	0.30753	2.5853	0.02	0.31343	0.0097284	0.21149	-0.11694	-0.9822	0.559	0.83934	0.326	0.60259
AMOTL1	10	-0.074443	-0.60343	0.686	0.9662	0.54622	0.88632	0.062176	0.50471	0.594	0.86463	0.61376	0.80021
AMOT	10	0.048259	0.36837	0.677	0.9662	0.7126	0.92151	0.069312	0.52942	0.565	0.84077	0.59652	0.79535
ANAPC10	10	-0.21552	-1.3988	0.198	0.75285	0.16186	0.6108	-0.30159	-1.9576	0.122	0.488	0.050275	0.24252
ANAPC11	10	-0.42396	-1.8892	0.017	0.27869	0.058871	0.42872	-0.86874	-3.8689	0	0	0.00010934	0.0026487
ANAPC13	10	0.10671	0.75062	0.41	0.91518	0.45288	0.83404	-0.36264	-2.549	0.067	0.39645	0.010803	0.094761
ANAPC15	10	-0.2894	-1.6018	0.087	0.5503	0.10919	0.50551	-0.93989	-5.1892	0	0	2.1118e-07	1.8355e-05
ANAPC16	10	0.313	2.1506	0.017	0.27869	0.031507	0.33529	0.34438	2.3668	0.02	0.2	0.017941	0.13461
ANAPC1	10	0.039641	0.2559	0.727	0.97154	0.79802	0.94218	-0.034658	-0.22376	0.92	0.97252	0.82295	0.91407
ANAPC2	10	-0.6645	-2.5602	0	0	0.010461	0.22257	-1.1105	-4.2553	0	0	2.0872e-05	0.0006139
ANAPC4	10	-0.89698	-3.283	0	0	0.001027	0.048902	-1.8648	-6.7118	0	0	1.9228e-11	6.4093e-09
ANAPC5	10	-0.21407	-1.4821	0.206	0.76042	0.1383	0.56914	-0.5395	-3.7341	0.006	0.085714	0.00018836	0.0043032
ANAPC7	10	-0.3796	-2.0844	0.033	0.36667	0.037127	0.36344	-0.85447	-4.6894	0	0	2.7401e-06	0.00013501
ANGPT2	10	0.2498	1.6361	0.053	0.4569	0.10182	0.49166	0.0025801	0.016895	0.881	0.96397	0.98652	0.99374
ANG	10	-0.0028059	-0.022125	0.952	0.98861	0.98235	0.99451	-0.1623	-1.2795	0.418	0.77007	0.20072	0.46896
ANK3	10	0.38891	2.9502	0.005	0.14286	0.0031762	0.098196	0.0072808	0.055097	0.849	0.95716	0.95606	0.99074
ANKHD1	10	0.0043796	0.026926	0.913	0.98067	0.97852	0.99451	-0.18841	-1.1581	0.336	0.7044	0.24683	0.52074
ANKK1	10	0.39563	1.8444	0.005	0.14286	0.065128	0.42872	0.41613	1.9403	0.006	0.085714	0.052338	0.24621
ANKLE2	10	-0.18389	-1.2273	0.282	0.80508	0.21972	0.68454	-0.0041071	-0.027454	0.918	0.97252	0.9781	0.99374
ANKRA2	10	0.022173	0.19256	0.828	0.97655	0.84731	0.95525	-0.087069	-0.75612	0.685	0.89895	0.44958	0.70467
ANKRD11	10	-0.082562	-0.79835	0.647	0.9662	0.42466	0.8151	-0.33548	-3.2436	0.09	0.45455	0.0011802	0.017903
ANKRD12	10	0.091539	0.68589	0.475	0.93725	0.49278	0.86138	0.11451	0.85838	0.388	0.74615	0.39068	0.65661
ANKRD17	10	-0.09332	-0.54284	0.59	0.9662	0.58724	0.89655	-0.79383	-4.6108	0.001	0.02	4.0114e-06	0.00016714
ANKRD1	10	0.19671	1.5503	0.135	0.65919	0.12108	0.5396	0.33058	2.6069	0.032	0.2735	0.0091362	0.082308
ANKRD23	10	-0.071162	-0.53477	0.706	0.97154	0.59281	0.90093	0.090636	0.68135	0.5	0.81947	0.49565	0.7431
ANKRD28	10	0.078719	0.83888	0.524	0.95446	0.40154	0.80503	0.051286	0.54656	0.638	0.88366	0.58468	0.78691
ANKRD30A	10	0.08208	0.65367	0.514	0.95185	0.51333	0.87152	0.041742	0.33254	0.68	0.89605	0.73948	0.86823
ANKRD32	10	0.063534	0.4558	0.605	0.9662	0.64854	0.91164	0.13844	0.99405	0.294	0.67898	0.3202	0.59623
ANKRD34B	10	0.30379	2.3644	0.021	0.31343	0.018057	0.26269	0.13173	1.0252	0.31	0.68889	0.30529	0.5829
ANKRD37	10	-0.055393	-0.41183	0.775	0.97382	0.68047	0.92151	-0.080144	-0.59607	0.71	0.90446	0.55113	0.76546
ANKRD42	10	0.12913	1.1636	0.307	0.82493	0.24461	0.69688	-0.050885	-0.45845	0.847	0.95716	0.64663	0.81748
ANKRD49	10	0.1779	1.0216	0.169	0.69835	0.30696	0.7542	-0.20256	-1.1622	0.304	0.68539	0.24516	0.51941
ANKRD54	10	-0.10794	-0.83658	0.53	0.95699	0.40283	0.80503	-0.14106	-1.0933	0.477	0.81113	0.27427	0.55073
ANKRD6	10	0.2738	1.7613	0.037	0.39583	0.07818	0.46155	0.27211	1.7513	0.064	0.38554	0.079887	0.29809
ANKRD7	10	-0.21245	-1.8157	0.209	0.76042	0.069419	0.43298	0.048201	0.41226	0.656	0.89037	0.68015	0.83625
ANKS1A	10	-0.15539	-1.1288	0.353	0.8652	0.25898	0.71346	-0.22951	-1.6675	0.233	0.62234	0.095421	0.31913
ANKS1B	10	0.16966	1.2009	0.197	0.75191	0.22978	0.68744	0.18979	1.3436	0.166	0.54248	0.17909	0.44851
ANLN	10	-0.28958	-1.6595	0.087	0.5503	0.097022	0.48799	-0.65246	-3.7328	0.001	0.02	0.00018934	0.0043032
ANO2	10	-0.022555	-0.20525	0.942	0.98861	0.83738	0.95525	0.19002	1.7297	0.164	0.53947	0.083692	0.30305
ANO7	10	-0.10545	-0.93638	0.544	0.96127	0.34908	0.77975	-0.14481	-1.2859	0.465	0.8045	0.19847	0.46528
ANP32A	10	-0.056893	-0.38596	0.768	0.97382	0.69953	0.92151	-0.10733	-0.72826	0.602	0.86869	0.46645	0.71652
ANP32B	10	0.10554	0.88967	0.416	0.92035	0.37364	0.80181	-0.22636	-1.9079	0.238	0.62963	0.056404	0.25755
