sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
ACBD6_p180471256	ACBD6	107.3/285.93	553.29/687.76	196.61	620.53	1.6531	15954	4507.1	6.3461	1	1.359e-10	2.7181e-10	1.8103e-08	True
ADAR_m154574103	ADAR	132.29/133.2	278.22/658.58	132.74	468.4	1.8114	0.41194	2982.8	6.1847	1	4.005e-10	8.01e-10	5.0012e-08	True
ACTR8_m53916067	ACTR8	1267/1156.1	251.09/42.341	1211.6	146.72	-3.0372	6148	30470	6.0666	5.2705e-10	1	1.0541e-09	6.1944e-08	False
ABCC1_p16101710	ABCC1	52.915/26.639	203.78/224.3	39.777	214.04	2.3987	345.22	840.82	6.0337	1	1.0164e-09	2.0329e-09	1.0154e-07	True
AHCY_m32883247	AHCY	1142.1/1099.3	112.93/100.7	1120.7	106.82	-3.379	914.99	28072	6.0254	7.072e-10	1	1.4144e-09	7.85e-08	False
AAK1_m69870125	AAK1	402.74/621.58	1149.5/1202.2	512.16	1175.8	1.1974	23945	12327	6.0046	1	1.1335e-09	2.267e-09	1.0784e-07	True
ABT1_m26597388	ABT1	1743.3/1980.2	837.19/281.51	1861.7	559.35	-1.733	28064	47859	5.9686	1.3144e-09	1	2.6288e-09	1.1937e-07	False
AHNAK2_m105423836	AHNAK2	293.97/816.94	1369/1079.1	555.46	1224.1	1.1385	1.3674e+05	13424	5.7972	1	3.9442e-09	7.8883e-09	3.1522e-07	True
AHCTF1_m247070906	AHCTF1	1078.9/1609	348.88/193.97	1343.9	271.43	-2.3036	1.4052e+05	33978	5.7876	2.9701e-09	1	5.9401e-09	2.5801e-07	False
ACTR8_m53916096	ACTR8	1719.7/1007	356.45/222.01	1363.4	289.23	-2.233	2.5403e+05	34494	5.749	3.6604e-09	1	7.3208e-09	3.0473e-07	False
ADCY1_p45614315	ADCY1	2.9397/72.814	210.72/187.1	37.877	198.91	2.3624	2441.2	798.66	5.7313	1	6.6546e-09	1.3309e-08	4.9244e-07	True
AHCTF1_m247070995	AHCTF1	1437.5/1095.8	320.49/161.36	1266.6	240.92	-2.3895	58405	31927	5.7097	4.7191e-09	1	9.4383e-09	3.6265e-07	False
ADCK1_p78285331	ADCK1	798.14/768.99	1478.8/1756	783.56	1617.4	1.0446	425	19272	5.6463	1	9.4784e-10	1.8957e-09	9.9673e-08	True
ACVR1B_m52369170	ACVR1B	411.56/831.14	970.31/1637	621.35	1303.7	1.0679	88023	15103	5.5868	1	1.4123e-08	2.8247e-08	9.7305e-07	True
AHCY_p32883309	AHCY	1053.9/882.65	106.62/105.85	968.27	106.24	-3.1761	14664	24074	5.5302	1.3595e-08	1	2.719e-08	9.701e-07	False
ADNP_m49520507	ADNP	959.83/1397.7	1429.6/2811.1	1178.7	2120.4	0.84651	95854	29603	5.5012	1	2.2153e-08	4.4307e-08	1.4278e-06	True
ABCF1_p30545878	ABCF1	2012.3/1989.1	1064.3/432	2000.7	748.15	-1.4179	268.94	51620	5.4962	1.7661e-08	1	3.5323e-08	1.1762e-06	False
ACTR1A_m104250365	ACTR1A	402.74/161.61	711.64/716.37	282.18	714.01	1.3362	29073	6588.5	5.3494	1	5.1873e-08	1.0375e-07	3.0446e-06	True
ABCF1_p30545587	ABCF1	48.506/248.63	665.59/248.9	148.57	457.24	1.6153	20025	3357.6	5.3436	1	5.0168e-08	1.0034e-07	3.0375e-06	True
ADAM12_m128076658	ADAM12	768.74/767.21	1432.1/1562.6	767.98	1497.4	0.96239	1.1754	18870	5.3392	1	5.4858e-08	1.0972e-07	3.0446e-06	True
ADARB1_m46595721	ADARB1	229.3/735.24	1186.1/914.35	482.27	1050.2	1.1211	1.2799e+05	11572	5.3383	1	6.475e-08	1.295e-07	3.4965e-06	True
ADRA1B_m159344001	ADRA1B	329.25/309.01	881.98/676.32	319.13	779.15	1.2851	204.75	7498.2	5.3368	1	5.408e-08	1.0816e-07	3.0446e-06	True
ACTN4_p39138476	ACTN4	449.78/475.95	1056.7/977.86	462.87	1017.3	1.1344	342.52	11083	5.2935	1	6.9553e-08	1.3911e-07	3.657e-06	True
ACLY_p40070033	ACLY	1594.8/1108.2	605.65/127.6	1351.5	366.63	-1.8793	1.184e+05	34179	5.2888	4.986e-08	1	9.972e-08	3.0375e-06	False
ABCB8_p150725605	ABCB8	149.93/259.29	880.72/244.89	204.61	562.81	1.4553	5980	4699.9	5.2531	1	8.7218e-08	1.7444e-07	4.4683e-06	True
ACRC_p70814182	ACRC	682.02/822.26	1572.2/1333.8	752.14	1453	0.949	9834.1	18461	5.1583	1	1.248e-07	2.496e-07	6.2337e-06	True
ADK_p76153940	ADK	804.02/472.4	1336.2/1203.3	638.21	1269.8	0.99133	54985	15534	5.1114	1	2.0187e-07	4.0374e-07	9.7031e-06	True
ACAT2_p160183972	ACAT2	138.17/277.05	441.62/673.46	207.61	557.54	1.4209	9643.8	4772.3	5.0886	1	2.0397e-07	4.0794e-07	9.7031e-06	True
ADI1_p3517642	ADI1	261.64/399.59	406.29/1138.1	330.61	772.18	1.2213	9515.3	7781.9	5.024	1	2.7849e-07	5.5697e-07	1.2096e-05	True
ACTR5_m37377141	ACTR5	865.75/935.92	1595.5/1695.4	900.84	1645.4	0.86841	2461.9	22315	5.013	1	3.1049e-07	6.2098e-07	1.3199e-05	True
ADRB1_m115804012	ADRB1	2166.6/1942.9	1093.3/705.5	2054.7	899.42	-1.191	25022	53088	4.9849	2.662e-07	1	5.3239e-07	1.2088e-05	False
ABT1_p26597300	ABT1	1562.5/763.66	422.07/220.29	1163.1	321.18	-1.8532	3.1905e+05	29189	4.943	4.1599e-07	1	8.3197e-07	1.7315e-05	False
ABI1_p27149701	ABI1	698.19/779.64	1791.1/1034.5	738.91	1412.8	0.93415	3317.2	18120	4.8532	1	2.7758e-07	5.5517e-07	1.2096e-05	True
ADD1_p2877627	ADD1	236.65/310.79	502.82/804.49	273.72	653.65	1.2528	2748.5	6381.1	4.8042	1	9.8679e-07	1.9736e-06	4.0237e-05	True
ABL1_m133729449	ABL1	599.71/374.72	1384.2/601.36	487.22	992.77	1.0254	25309	11697	4.7034	1	1.4735e-06	2.947e-06	5.8882e-05	True
ADCK1_p78285416	ADCK1	826.07/797.4	977.88/2066.7	811.73	1522.3	0.90634	410.9	20001	4.6641	1	2.5264e-07	5.0529e-07	1.1739e-05	True
ACTR1A_p104262383	ACTR1A	1240.6/836.47	215.76/358.76	1038.5	287.26	-1.8505	81648	25913	4.6376	1.5286e-06	1	3.0572e-06	5.9886e-05	False
ABCF1_p30539251	ABCF1	1127.4/1198.8	371.59/370.2	1163.1	370.9	-1.6462	2547.1	29189	4.6202	1.7697e-06	1	3.5395e-06	6.548e-05	False
AHCY_p32883253	AHCY	651.15/879.09	237.21/18.882	765.12	128.05	-2.5697	25979	18796	4.6199	1.6733e-06	1	3.3466e-06	6.308e-05	False
AATF_m35306482	AATF	836.36/1289.3	468.75/177.95	1062.8	323.35	-1.7137	1.026e+05	26551	4.4974	2.8354e-06	1	5.6709e-06	0.00010116	False
ACTL6A_p179287966	ACTL6A	1478.7/728.14	548.24/173.94	1103.4	361.09	-1.6088	2.8166e+05	27618	4.4386	3.9694e-06	1	7.9387e-06	0.00013914	False
AGAP2_p58129171	AGAP2	508.58/907.51	1324.9/1248.5	708.04	1286.7	0.86084	79574	17325	4.431	0.99999	5.5096e-06	1.1019e-05	0.0001898	True
AGTPBP1_m88296213	AGTPBP1	780.5/873.77	1431.5/1476.2	827.13	1453.9	0.81294	4349.1	20400	4.422	0.99999	5.722e-06	1.1444e-05	0.00019377	True
AGL_m100327135	AGL	221.95/118.99	418.91/461.75	170.47	440.33	1.3639	5300.6	3879.5	4.3593	0.99999	7.3903e-06	1.4781e-05	0.0002461	True
ADARB2_m1779330	ADARB2	135.23/118.99	351.41/399.95	127.11	375.68	1.556	131.86	2849.9	4.2861	1	1.6241e-06	3.2482e-06	6.2402e-05	True
ACTRT3_p169487206	ACTRT3	35.277/406.69	451.09/596.79	220.98	523.94	1.2417	68975	5096	4.2721	0.99999	1.0997e-05	2.1994e-05	0.00036019	True
ACSL6_m131326651	ACSL6	630.57/692.62	1066.8/1423.6	661.6	1245.2	0.91134	1924.8	16133	4.2353	1	2.1653e-06	4.3306e-06	7.8659e-05	True
ACD_m67694254	ACD	1174.4/934.15	1644.1/1830.4	1054.3	1737.3	0.72	28867	26327	4.2278	0.99999	1.2813e-05	2.5626e-05	0.00041291	True
ACVR2B_m38518828	ACVR2B	404.21/1095.8	1399.9/1221	749.99	1310.5	0.80435	2.3912e+05	18405	4.1707	0.99998	1.8022e-05	3.6044e-05	0.00054558	True
AHNAK2_p105423983	AHNAK2	363.06/388.93	977.25/556.16	376	766.7	1.026	334.74	8908.3	4.1659	0.99998	1.7397e-05	3.4794e-05	0.00054431	True
ACSS2_p33500928	ACSS2	399.8/806.28	1147.6/1059.1	603.04	1103.3	0.87047	82611	14636	4.1639	0.99998	1.7708e-05	3.5415e-05	0.00054431	True
AATK_m79102281	AATK	683.49/816.94	1095.2/1516.9	750.21	1306	0.79901	8903.9	18411	4.1318	0.99998	2.0986e-05	4.1971e-05	0.00062581	True
ADAP1_m994071	ADAP1	1148/719.26	262.45/345.03	933.61	303.74	-1.6168	91896	23169	4.114	1.751e-05	0.99998	3.502e-05	0.00054431	False
ABCF1_p30545181	ABCF1	1164.1/1204.1	1687/2089	1184.1	1888	0.67261	798.18	29744	4.098	0.99998	2.2382e-05	4.4765e-05	0.00065765	True
ADCK4_m41220474	ADCK4	1978.4/1751.1	2659.2/2851.2	1864.8	2755.2	0.56291	25847	47941	4.0938	0.99998	2.3841e-05	4.7682e-05	0.00069035	True
ABCB8_m150725643	ABCB8	598.24/1035.4	1096.5/1688.5	816.81	1392.5	0.76888	95546	20133	4.0855	0.99998	2.4821e-05	4.9643e-05	0.00070847	True
ACVR1_m158637033	ACVR1	958.36/756.55	1619.5/1261.1	857.45	1440.3	0.74755	20362	21187	4.0314	0.99997	3.1118e-05	6.2237e-05	0.00084186	True
AAK1_p69870105	AAK1	279.28/289.48	581.68/639.7	284.38	610.69	1.0999	52.06	6642.5	4.031	0.99997	3.118e-05	6.236e-05	0.00084186	True
ADRBK1_p67034193	ADRBK1	908.38/832.92	1639.7/1268.5	870.65	1454.1	0.7393	2847.2	21530	4.0142	0.99997	3.4987e-05	6.9974e-05	0.00093206	True
AATF_p35306410	AATF	2096/1960.6	1573.4/629.97	2028.3	1101.7	-0.87996	9165.2	52371	4.0082	2.5702e-05	0.99997	5.1405e-05	0.00072329	False
ACHE_p100491821	ACHE	864.28/1113.5	382.32/331.29	988.9	356.81	-1.4681	31059	24613	3.9966	2.8007e-05	0.99997	5.6015e-05	0.0007772	False
AFF2_m147924918	AFF2	858.4/1136.6	795.55/2439.8	997.51	1617.7	0.69696	38698	24838	3.9374	0.99996	4.1603e-05	8.3206e-05	0.0010937	True
ADRB1_m115804005	ADRB1	1346.4/1584.1	791.77/633.98	1465.3	712.87	-1.0384	28261	37210	3.8712	4.7993e-05	0.99995	9.5986e-05	0.0012294	False
ACTR3_p114691894	ACTR3	2171/2250.1	1406.3/1163.8	2210.6	1285	-0.78214	3130.5	57327	3.8397	5.5426e-05	0.99994	0.00011085	0.0014018	False
AGAP3_p150783818	AGAP3	388.05/509.7	933.09/750.13	448.87	841.61	0.90535	7399.5	10731	3.8193	0.99993	7.4964e-05	0.00014993	0.0018491	True
ACTRT3_m169487204	ACTRT3	377.76/277.05	599.35/716.94	327.4	658.14	1.0051	5071.2	7702.5	3.7967	0.99992	8.211e-05	0.00016422	0.0019761	True
ABT1_p26597266	ABT1	986.28/745.9	328.06/302.11	866.09	315.09	-1.4559	28893	21411	3.7809	8.3077e-05	0.99992	0.00016615	0.0019761	False
AGAP3_p150784007	AGAP3	707.01/635.79	837.19/1465.4	671.4	1151.3	0.77709	2536.1	16384	3.7772	0.99991	8.8763e-05	0.00017753	0.0020622	True
A1CF_m52596017	A1CF	432.14/731.69	980.4/1082	581.92	1031.2	0.82436	44865	14097	3.7744	0.99992	7.716e-05	0.00015432	0.0018801	True
ADCK5_m145608343	ADCK5	936.31/790.3	1459.9/1358.4	863.3	1409.1	0.70621	10660	21339	3.7681	0.99991	9.3312e-05	0.00018662	0.002143	True
ADRBK1_p67034199	ADRBK1	923.08/758.33	1479.4/1276	840.7	1377.7	0.71192	13571	20752	3.7655	0.9999	9.6623e-05	0.00019325	0.0021691	True
ABTB1_m127395813	ABTB1	492.41/353.41	863.06/731.82	422.91	797.44	0.91342	9659.6	10080	3.7637	0.9999	9.559e-05	0.00019118	0.0021691	True
ADNP2_p77891042	ADNP2	238.12/232.65	417.65/547.01	235.38	482.33	1.0319	14.96	5445.5	3.7617	0.99959	0.00040962	0.00081924	0.006995	True
AAK1_m69870056	AAK1	933.37/1255.6	1409.4/2011.2	1094.5	1710.3	0.64354	51915	27383	3.7488	0.9999	9.9001e-05	0.000198	0.0021737	True
ADAM12_p128019039	ADAM12	1824.1/815.16	661.8/605.37	1319.6	633.59	-1.0573	5.0899e+05	33332	3.7284	8.5743e-05	0.99991	0.00017149	0.0020155	False
ADCK5_m145608301	ADCK5	1051/703.28	1509.7/1321.2	877.12	1415.4	0.68979	60442	21698	3.6862	0.99987	0.0001288	0.00025761	0.0027973	True
ACLY_m40070008	ACLY	327.78/454.64	51.733/24.032	391.21	37.882	-3.3344	8046.9	9287.5	3.6846	9.8437e-05	0.9999	0.00019687	0.0021737	False
ADRB3_m37823829	ADRB3	314.55/280.6	690.82/507.52	297.58	599.17	1.0073	576.39	6966.9	3.6446	0.99985	0.00015116	0.00030231	0.0032474	True
ACVR2A_p148602720	ACVR2A	1412.5/715.71	1485.1/1809.8	1064.1	1647.5	0.6301	2.4279e+05	26585	3.6049	0.99983	0.00017333	0.00034667	0.0035703	True
AGTPBP1_m88307696	AGTPBP1	0/362.29	437.84/382.79	181.15	410.31	1.1751	65628	4135.3	3.5977	0.99982	0.00018329	0.00036657	0.0036991	True
ACTR3_m114688941	ACTR3	1148/1046	811.32/186.53	1097	498.93	-1.1351	5195.5	27449	3.584	0.00015317	0.99985	0.00030634	0.0032557	False
ADRA1A_m26722399	ADRA1A	161.69/230.87	376.64/490.36	196.28	433.5	1.1391	2393.4	4499	3.5822	0.9998	0.00020296	0.00040593	0.0039371	True
ACVR1C_m158443841	ACVR1C	474.77/515.02	895.23/869.72	494.9	882.47	0.83315	810.29	11891	3.5816	0.99981	0.00018948	0.00037895	0.0037857	True
ACVR1C_p158443781	ACVR1C	492.41/459.97	729.31/981.29	476.19	855.3	0.84356	526.06	11419	3.5751	0.99981	0.00019423	0.00038846	0.0038423	True
AFF3_m100625363	AFF3	1159.7/761.88	505.34/304.97	960.8	405.16	-1.2437	79141	23879	3.5593	0.00016172	0.99984	0.00032343	0.0034012	False
ACIN1_m23538715	ACIN1	846.65/985.65	335/415.98	916.15	375.49	-1.2845	9661.2	22714	3.5578	0.000167	0.99983	0.00033401	0.0034758	False
ADCK1_m78285328	ADCK1	662.91/1008.7	1101.5/1694.8	835.82	1398.2	0.74157	59798	20626	3.5554	0.99995	4.5092e-05	9.0183e-05	0.00117	True
ACVR1B_m52369192	ACVR1B	632.04/475.95	1491.4/427.99	554	959.71	0.79161	12182	13387	3.5413	0.99977	0.00022707	0.00045414	0.0042401	True
ADCK2_m140373210	ADCK2	862.81/628.69	1499.6/940.67	745.75	1220.1	0.70954	27408	18296	3.541	0.99977	0.00022642	0.00045284	0.0042401	True
AAK1_m69870137	AAK1	1330.2/522.13	323.02/456.6	926.18	389.81	-1.2464	3.2652e+05	22975	3.5114	0.0002011	0.9998	0.0004022	0.0039371	False
AGPAT3_p45379592	AGPAT3	1078.9/451.09	300.3/251.19	764.99	275.75	-1.4688	1.9706e+05	18793	3.5102	0.00017924	0.99982	0.00035849	0.0036544	False
ADH5_p100003219	ADH5	316.02/586.06	44.793/127.6	451.04	86.195	-2.3741	36461	10786	3.5019	0.00021447	0.99979	0.00042893	0.004081	False
ADNP2_p77875475	ADNP2	248.41/106.56	286.42/461.18	177.48	373.8	1.0703	10061	4047.4	3.5011	0.99898	0.0010176	0.0020352	0.013946	True
ACTR1A_p104248866	ACTR1A	975.99/665.98	467.49/172.23	820.99	319.86	-1.3572	48054	20241	3.4931	0.00021385	0.99979	0.00042771	0.004081	False
ADAMTS5_p28338667	ADAMTS5	1115.6/923.49	1207.5/1932.8	1019.6	1570.2	0.62248	18459	25416	3.4774	0.99972	0.00027641	0.00055282	0.0050667	True
AFF4_p132272844	AFF4	599.71/941.25	1211.3/1385.3	770.48	1298.3	0.75201	58326	18934	3.4761	0.99994	6.2604e-05	0.00012521	0.0015635	True
ACVRL1_m52306276	ACVRL1	921.61/880.87	1418.9/1405.3	901.24	1412.1	0.64725	829.84	22326	3.4537	0.99969	0.00031444	0.00062887	0.0056661	True
ACTR8_m53916047	ACTR8	2484.1/2349.6	2172.8/910.91	2416.8	1541.8	-0.64812	9045.6	62963	3.4526	0.00024421	0.99976	0.00048841	0.0045178	False
ACVR1_m158637046	ACVR1	712.89/678.41	1296.5/986.44	695.65	1141.5	0.71364	594.28	17007	3.4458	0.99969	0.00031478	0.00062957	0.0056661	True
ADRB3_m37823894	ADRB3	1215.6/1864.7	2161.4/2267.6	1540.2	2214.5	0.52361	2.1071e+05	39211	3.4366	0.99967	0.00033035	0.0006607	0.0058299	True
AFAP1L2_p116100409	AFAP1L2	1344.9/1133.1	2324.8/1356.6	1239	1840.7	0.57073	22446	31195	3.4363	0.99967	0.00032844	0.00065689	0.0058299	True
ACRC_p70800703	ACRC	1393.4/1472.3	1039.7/532.7	1432.8	786.2	-0.86508	3106.5	36345	3.3916	0.00034701	0.99965	0.00069403	0.005977	False
ACHE_m100491767	ACHE	1556.6/1758.2	970.94/942.95	1657.4	956.95	-0.79177	20320	42354	3.3711	0.00033263	0.99967	0.00066527	0.0058299	False
ACTR5_p37377211	ACTR5	1021.6/738.79	476.32/281.51	880.18	378.92	-1.2137	39978	21777	3.3683	0.000341	0.99966	0.000682	0.0059245	False
ABCB8_p150730712	ABCB8	249.88/381.83	630.26/574.47	315.85	602.36	0.92921	8705.5	7417.2	3.3549	0.99956	0.00043938	0.00087875	0.0073771	True
ADK_m75960590	ADK	208.72/65.71	292.1/350.17	137.22	321.14	1.2208	10226	3088.5	3.3537	0.99953	0.00047052	0.00094104	0.0077355	True
AHNAK_p62303470	AHNAK	379.23/731.69	881.35/997.31	555.46	939.33	0.7569	62115	13424	3.351	0.99954	0.00046126	0.00092251	0.0076799	True
ABCB8_p150725612	ABCB8	368.94/190.03	700.29/391.94	279.48	546.12	0.96394	16005	6522.4	3.3297	0.99952	0.00048096	0.00096193	0.0078127	True
AGTPBP1_p88307700	AGTPBP1	157.28/118.99	40.377/603.08	138.13	321.73	1.2139	732.97	3110.2	3.3261	0.9995	0.00050058	0.0010012	0.0080013	True
ADNP_p49510899	ADNP	1491.9/1332	2087.6/1983.2	1411.9	2035.4	0.52732	12793	35787	3.3241	0.99951	0.00049096	0.00098191	0.0079107	True
ABLIM2_m8108274	ABLIM2	546.79/1392.3	1411.3/1554.6	969.57	1483	0.61255	3.5748e+05	24108	3.3144	0.99953	0.00047234	0.00094468	0.0077355	True
ACSL6_m131329908	ACSL6	1011.3/866.66	557.71/419.98	938.97	488.84	-0.94029	10456	23309	3.3079	0.0015977	0.9984	0.0031953	0.019346	False
ACTR8_m53916057	ACTR8	992.16/1005.2	743.82/200.26	998.67	472.04	-1.0795	84.804	24869	3.305	0.00041968	0.99958	0.00083936	0.0071061	False
ACTR1A_p104262351	ACTR1A	973.05/1099.3	768.42/2344.2	1036.2	1556.3	0.5864	7970.4	25852	3.2643	0.99939	0.00060816	0.0012163	0.009347	True
ACTL6A_p179287892	ACTL6A	415.97/669.53	750.76/1074.6	542.75	912.66	0.7487	32146	13102	3.2599	0.99938	0.00061541	0.0012308	0.0093861	True
AEN_m89169489	AEN	94.072/0	175.39/122.45	47.036	148.92	1.642	4424.7	1002.7	3.2449	0.99931	0.00069456	0.0013891	0.010236	True
ADAM10_p58974401	ADAM10	968.64/864.89	590.51/256.34	916.77	423.43	-1.1126	5382.9	22730	3.2447	0.00053345	0.99947	0.0010669	0.0083925	False
ADCK3_p227149165	ADCK3	558.55/838.25	1063.7/1170.7	698.4	1117.2	0.67697	39115	17077	3.2341	0.99932	0.00067614	0.0013523	0.010157	True
AGPAT5_m6566233	AGPAT5	3338.1/3873.3	2840.3/2366	3605.7	2603.1	-0.46989	1.4325e+05	95878	3.2235	0.00060203	0.9994	0.0012041	0.0093245	False
AFAP1L2_p116100418	AFAP1L2	388.05/362.29	687.67/664.87	375.17	676.27	0.84835	331.6	8887.7	3.2232	0.9993	0.00070187	0.0014037	0.010236	True
ACSS2_m33500924	ACSS2	595.3/591.39	1061.8/887.45	593.34	974.62	0.71502	7.6332	14388	3.207	0.99926	0.00073997	0.0014799	0.010636	True
AFMID_m76187074	AFMID	898.09/880.87	506.6/310.69	889.48	408.65	-1.1202	148.29	22019	3.2048	0.00059696	0.9994	0.0011939	0.0093181	False
ADIRF_p88728321	ADIRF	1647.7/760.11	685.78/608.23	1203.9	647	-0.89486	3.9393e+05	30267	3.2011	0.00068451	0.99932	0.001369	0.010206	False
ADAP1_m994066	ADAP1	167.57/67.486	204.41/355.9	117.53	280.15	1.2462	5007.9	2624.6	3.1985	0.99924	0.00075899	0.001518	0.010832	True
AGFG1_m228337276	AGFG1	2382.7/2260.8	1567.8/1499.1	2321.7	1533.4	-0.59811	7427.3	60361	3.1877	0.00066713	0.99933	0.0013343	0.010098	False
ACTR3_m114684932	ACTR3	1024.5/1362.2	883.88/396.52	1193.3	640.2	-0.89735	57004	29988	3.1683	0.00070125	0.9993	0.0014025	0.010236	False
ACTL6B_p100253066	ACTL6B	983.34/1022.9	560.86/438.86	1003.1	499.86	-1.0035	784.16	24986	3.1515	0.00072646	0.99927	0.0014529	0.010518	False
ADRM1_p60878642	ADRM1	94.072/124.32	70.66/451.45	109.19	261.06	1.2498	457.37	2429.4	3.1312	0.99895	0.0010454	0.0020909	0.014209	True
ADRB3_p37823813	ADRB3	1267/703.28	528.05/453.17	985.15	490.61	-1.0043	1.5891e+05	24515	3.1273	0.00079286	0.99921	0.0015857	0.011235	False
ADCK5_p145608311	ADCK5	601.18/742.35	1225.2/901.19	671.76	1063.2	0.66158	9964.3	16393	3.0887	0.99888	0.0011173	0.0022346	0.014859	True
ADRB3_p37823908	ADRB3	471.83/399.59	733.09/761.57	435.71	747.33	0.77701	2609.3	10401	3.0868	0.99888	0.001123	0.002246	0.014859	True
ABHD14B_m52004122	ABHD14B	1793.2/1836.3	983.56/1301.7	1814.8	1142.6	-0.66697	928.25	46591	3.0795	0.00092296	0.99908	0.0018459	0.012986	False
ACTL7A_m111624736	ACTL7A	873.1/829.37	364.65/436.57	851.24	400.61	-1.0854	956.41	21025	3.0788	0.00094276	0.99906	0.0018855	0.013172	False
AHNAK_m62303560	AHNAK	704.07/959.01	1027.7/1504.8	831.54	1266.3	0.60614	32498	20515	3.0731	0.9988	0.0012016	0.0024032	0.015692	True
ACTL6A_p179287878	ACTL6A	518.86/502.59	99.05/238.6	510.73	168.82	-1.5913	132.38	12291	3.0564	0.0010191	0.99898	0.0020382	0.013946	False
ACO2_p41903797	ACO2	567.37/665.98	377.27/100.13	616.68	238.7	-1.3656	4862	14984	3.0555	0.0010079	0.99899	0.0020157	0.013946	False
ACVRL1_m52306921	ACVRL1	740.81/525.68	1467.4/548.15	633.25	1007.8	0.66952	23141	15407	3.0524	0.99873	0.0012742	0.0025484	0.016319	True
ACTR5_m37377189	ACTR5	679.08/774.31	1578.5/680.32	726.7	1129.4	0.63543	4534.6	17805	3.0464	0.99873	0.0012723	0.0025446	0.016319	True
ADK_p76154015	ADK	454.19/490.16	896.49/685.47	472.18	790.98	0.74309	646.97	11318	3.041	0.99864	0.0013643	0.0027286	0.017144	True
ADCK3_m227149163	ADCK3	1115.6/1063.8	1343.8/1829.3	1089.7	1586.5	0.54151	1343.7	27257	3.0387	0.99869	0.0013095	0.0026191	0.01656	True
ACIN1_p23538735	ACIN1	246.94/177.59	28.39/0	212.27	14.195	-3.811	2404.3	4884.9	3.0307	0.0011056	0.99889	0.0022112	0.014859	False
ACTR8_m53916121	ACTR8	285.15/408.47	99.05/44.63	346.81	71.84	-2.2555	7603	8183.1	3.0217	0.0011211	0.99888	0.0022422	0.014859	False
ACAT2_p160183107	ACAT2	2034.3/2248.3	1099.6/1749.7	2141.3	1424.7	-0.58752	22908	55442	3.0204	0.001169	0.99883	0.0023379	0.015366	False
AGBL5_m27275887	AGBL5	640.86/602.05	307.24/192.83	621.45	250.03	-1.3101	753.4	15106	2.9967	0.0012553	0.99874	0.0025105	0.016286	False
ACP1_m272137	ACP1	1730/722.81	789.87/605.37	1226.4	697.62	-0.81305	5.0725e+05	30862	2.9917	0.0013059	0.99869	0.0026117	0.01656	False
ADCK4_m41220284	ADCK4	1234.7/1300	1357.7/2232.7	1267.3	1795.2	0.50197	2132.2	31946	2.9802	0.99843	0.0015729	0.0031458	0.01928	True
