id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ABI1	10	0.085615	0.25899	0.999726	24	6	-0.23736	0.2816	0.56369	0.940782	57	2	-0.23736
AGPAT3	10	0.097138	0.28395	0.999726	25	6	-0.26457	0.44036	0.70516	0.995704	68	3	-0.26457
AEBP1	10	0.11003	0.30875	0.999726	26	4	-0.092964	0.7928	0.91567	0.995704	88	2	-0.092964
ACRC	10	0.11614	0.31885	0.999726	27	3	0.11912	0.0018401	0.011063	0.562708	1	5	0.11912
AFMID	10	0.12233	0.32902	0.999726	28	5	-0.26972	0.82229	0.92444	0.995704	89	1	-0.26972
AGL	10	0.12568	0.33424	0.999726	29	5	-0.089501	0.23886	0.50608	0.940782	51	5	-0.089501
ACSL6	10	0.12992	0.34135	0.999726	30	5	0.051392	0.29128	0.5753	0.940782	59	5	0.051392
ACBD6	10	0.13975	0.35712	0.999726	31	5	-0.10807	0.10933	0.31082	0.914186	34	4	-0.10807
ADRM1	10	0.14822	0.37081	0.999726	32	5	-0.21536	0.6298	0.83138	0.995704	82	1	-0.21536
ABCC1	10	0.15858	0.38732	0.999726	33	4	-0.15482	0.12721	0.34389	0.929425	37	2	-0.15482
ADAMTS5	10	0.1787	0.418	0.999726	34	5	-0.13571	0.5393	0.78609	0.995704	75	2	-0.13571
ABTB1	10	0.17883	0.41821	0.999726	35	4	-0.083354	0.46459	0.7254	0.995704	70	3	-0.083354
ADAP1	10	0.17891	0.41839	0.999726	36	2	0.096871	0.32077	0.6021	0.940782	64	2	0.096871
ADH5	10	0.194	0.44062	0.999726	37	4	0.031022	0.272	0.55088	0.940782	56	4	0.031022
ACTL7A	10	0.19747	0.44594	0.999726	38	3	-0.049861	0.30624	0.58923	0.940782	61	4	-0.049861
AEN	10	0.20067	0.45045	0.999726	39	5	-0.16395	0.60882	0.82059	0.995704	80	1	-0.16395
ADAM12	10	0.22784	0.48946	0.999726	40	4	0.13144	0.17631	0.41915	0.940782	43	3	0.13144
AAK1	10	0.24171	0.50867	0.999726	41	3	0.067339	0.021063	0.089646	0.65519	11	4	0.067339
ADD3	10	0.24493	0.51283	0.999726	42	4	-0.11794	0.40572	0.67632	0.995704	66	3	-0.11794
ACTL6B	10	0.24598	0.51422	0.999726	43	5	-0.14409	0.51198	0.76399	0.995704	71	2	-0.14409
ADAM10	10	0.24818	0.5172	0.999726	44	5	-0.1958	0.58266	0.80757	0.995704	78	2	-0.1958
ACVR1B	10	0.25037	0.52011	0.999726	45	5	-0.13523	0.15729	0.39069	0.940782	40	3	-0.13523
ADCY1	10	0.25607	0.528	0.999726	46	3	0.10422	0.15341	0.38466	0.940782	39	3	0.10422
ADPRHL2	10	0.28536	0.55997	0.999726	47	4	-0.0055285	0.54728	0.79005	0.995704	76	3	-0.0055285
ACVR2B	10	0.28714	0.56144	0.999726	48	4	0.055993	0.16943	0.40864	0.940782	41	5	0.055993
AFF1	10	0.30624	0.57943	0.999726	49	3	0.053306	0.51555	0.76684	0.995704	74	4	0.053306
ACTR5	10	0.31792	0.5907	0.999726	50	2	0.25177	0.14483	0.37176	0.940782	38	5	0.25177
AGFG1	10	0.32077	0.59309	0.999726	51	4	-0.14439	0.65566	0.84516	0.995704	84	3	-0.14439
ACAT2	10	0.32863	0.60032	0.999726	52	4	0.14699	0.22454	0.48719	0.940782	49	5	0.14699
ADRB3	10	0.38563	0.65402	0.999726	53	2	0.19518	0.064453	0.21071	0.842854	25	4	0.19518
ABHD14B	10	0.39205	0.65995	0.999726	54	2	0.054302	0.45304	0.71579	0.995704	69	4	0.054302
ABLIM2	10	0.40932	0.67457	0.999726	55	4	0.12971	0.12389	0.33891	0.929425	36	5	0.12971
ADI1	10	0.43122	0.6938	0.999726	56	3	0.066132	0.2666	0.54351	0.940782	53	4	0.066132
ACAD11	10	0.45304	0.71294	0.999726	57	4	-0.14423	0.97363	0.98059	0.995704	95	1	-0.14423
ABCB8	10	0.4616	0.7206	0.999726	58	3	0.33882	0.0067887	0.035943	0.602046	5	6	0.33882
ACVR2A	10	0.46459	0.72311	0.999726	59	2	0.17169	0.10505	0.30198	0.914186	32	5	0.17169
A1CF	10	0.46942	0.72723	0.999726	60	4	0.0064333	0.17117	0.41137	0.940782	42	5	0.0064333
ADAR	10	0.47488	0.73179	0.999726	61	4	-0.16099	0.11831	0.32959	0.929425	35	3	-0.16099
ACVRL1	10	0.48698	0.7423	0.999726	62	2	0.15882	0.10705	0.30599	0.914186	33	6	0.15882
AFF2	10	0.48716	0.74238	0.999726	63	2	0.2294	0.10451	0.30091	0.914186	31	6	0.2294
AFF4	10	0.51897	0.76405	0.999726	64	2	0.30669	0.19801	0.45032	0.940782	45	5	0.30669
ADK	10	0.5259	0.76802	0.999726	65	3	0.26565	0.029443	0.11887	0.65519	16	5	0.26565
AFTPH	10	0.54301	0.77743	0.999726	66	2	-0.077488	0.32074	0.60208	0.940782	63	4	-0.077488
AHNAK	10	0.56835	0.7915	0.999726	67	1	0.37532	0.086385	0.26183	0.914186	28	6	0.37532
AGAP2	10	0.58266	0.79922	0.999726	68	3	-0.056853	0.31079	0.5934	0.940782	62	3	-0.056853
ADCK4	10	0.59128	0.80434	0.999726	69	1	0.33858	0.0030206	0.016881	0.562708	3	8	0.33858
ADRA1B	10	0.60172	0.80971	0.999726	70	2	0.01884	0.21988	0.48071	0.940782	47	3	0.01884
ADARB1	10	0.62154	0.82075	0.999726	71	1	0.11123	0.21183	0.46954	0.940782	46	4	0.11123
ADH7	10	0.62466	0.82242	0.999726	72	3	-0.090919	0.78351	0.91288	0.995704	87	2	-0.090919
AEBP2	10	0.62569	0.82307	0.999726	73	3	0.012265	0.51531	0.76666	0.995704	72	3	0.012265
ADCK5	10	0.62931	0.82509	0.999726	74	2	0.046549	0.017035	0.075394	0.65519	10	4	0.046549
ACD	10	0.6298	0.82548	0.999726	75	3	-0.029641	0.35257	0.63081	0.970482	65	2	-0.029641
AHRR	9	0.63376	0.81996	0.999726	76	2	-0.049891	0.0044955	0.023588	0.589696	4	3	-0.049891
AATK	10	0.63527	0.82856	0.999726	77	2	0.27488	0.035303	0.13759	0.65519	21	6	0.27488
ADRBK1	10	0.69021	0.86019	0.999726	78	3	0.36204	0.010761	0.051642	0.65519	7	7	0.36204
AHNAK2	10	0.69722	0.86386	0.999726	79	2	0.33608	0.027097	0.11039	0.65519	15	6	0.33608
ADRA1A	10	0.70203	0.86681	0.999726	80	3	-0.066085	0.014914	0.06731	0.65519	8	3	-0.066085
ADD1	10	0.71587	0.87507	0.999726	81	3	0.11567	0.289	0.57262	0.940782	58	4	0.11567
ADAD1	10	0.72346	0.87946	0.999726	82	2	-0.0043567	0.61668	0.82463	0.995704	81	3	-0.0043567
ADCK1	10	0.74876	0.8946	0.999726	83	3	0.31253	0.023807	0.099406	0.65519	13	6	0.31253
ACTN1	10	0.79366	0.91002	0.999726	84	2	0.12145	0.2677	0.5451	0.940782	54	3	0.12145
ADRBK2	10	0.79997	0.91177	0.999726	85	2	0.2293	0.03449	0.13521	0.65519	20	7	0.2293
ACTN4	10	0.80345	0.913	0.999726	86	2	0.2223	0.021983	0.092839	0.65519	12	7	0.2223
ADARB2	10	0.83056	0.92287	0.999726	87	2	0.36865	0.051754	0.18	0.78263	23	6	0.36865
AFAP1L2	10	0.84723	0.9293	0.999726	88	2	0.23074	0.18059	0.42527	0.940782	44	5	0.23074
ADRB2	10	0.87179	0.93955	0.999726	89	2	-0.009076	0.66329	0.84915	0.995704	85	3	-0.009076
ACVR1	10	0.8856	0.94564	0.999726	90	2	0.22596	0.099573	0.29015	0.914186	29	5	0.22596
ACSS2	10	0.88811	0.94672	0.999726	91	2	0.19323	0.05802	0.19551	0.814642	24	6	0.19323
ADCK2	10	0.89418	0.94958	0.999726	92	2	-0.0071793	0.41478	0.68392	0.995704	67	4	-0.0071793
ABL2	10	0.91846	0.96209	0.999726	93	1	0.15642	0.26825	0.54582	0.940782	55	5	0.15642
ADCK3	10	0.96296	0.97391	0.999726	94	1	0.34147	0.024715	0.10224	0.65519	14	6	0.34147
ADNP	10	0.97247	0.97797	0.999726	95	1	0.35587	0.0068213	0.036123	0.602046	6	7	0.35587
AGTPBP1	10	0.9806	0.98235	0.999726	96	1	0.018825	0.046202	0.16633	0.756056	22	4	0.018825
AGAP3	10	0.98808	0.98844	0.999726	97	0	0.36057	0.0025857	0.014915	0.562708	2	8	0.36057
ADNP2	10	0.99546	0.99529	0.999726	98	0	0.11441	0.032278	0.12834	0.65519	17	5	0.11441
AES	10	0.99611	0.99604	0.999726	99	0	0.21432	0.23946	0.50695	0.940782	52	5	0.21432
ACVR1C	10	0.99966	0.99973	0.999726	100	0	0.29763	0.03345	0.13213	0.65519	18	7	0.29763
